"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
61638.3,44544,90686.2,57969.6,48696,78016.6,20956.3,449.652,0.271
100844,55850,118334,131059,76547,112207,95630,563.462,0.348
66476.4,41665,104563,57918.9,40621,93443.6,17769.4,603.032,0.464
78354.5,50692,101299,78810.4,55240,93499.6,27663.2,461.931,0.609
95217.4,64603,96592.5,56715.4,40079,92739.3,23180.9,416.116,0.61
117203,64245,119559,75209.9,44809,109999,24051.7,404.399,0.662
82811.1,57789,93912.5,61881.3,45408,89311.4,21558.2,393.962,0.754
107528,68503,102871,68432.5,43943,102059,19563.5,599.204,0.807
74599.3,49287,99193.3,53704.6,39367,89404.4,20611.2,528.115,0.953
57044.1,39150,95490.2,42549,30590,91157,17365.6,592.458,1.167
104349,68711,99527,90221,61335,96400.5,29438.9,446.974,1.246
92428.9,47330,127983,96342.5,52878,119405,37713.2,507.38,1.252
67036.6,44815,98032.1,59368.9,40946,95022.8,16352.5,490.235,1.412
76088.2,49122,101513,84580.1,57386,96592.2,19804.9,422.168,1.463
84892.8,56217,98965.3,50806.1,37028,89921.9,24624.3,594.101,1.472
66547.9,45534,95780.8,37295.7,27523,88806.1,15584.7,534.805,1.485
98245.2,59874,107536,61574,40766,98987.2,36607.4,497.913,1.548
96509.4,55527,113906,71266.3,47395,98544.3,50142.4,607.263,1.588
60048.4,42398,92818.8,37564.8,27774,88638.5,11943.8,560.485,1.605
92537.6,67107,90371.3,87273.4,63251,90426.2,19491,468.828,1.646
82165.1,55568,96904.2,27221.2,19324,92318.9,19232.4,549.405,1.651
89542.4,49854,117709,100420,54910,119852,47093,496.694,1.679
120392,78063,101073,75623.3,50811,97538.9,24317.4,512.501,1.726
96314.8,63698,99094,69732,50546,90411.8,36430.6,390.335,1.842
64432,43545,96971.4,54420.6,37812,94322.1,18344,421.734,1.919
76662,56483,88949.2,40551.4,32995,80544.9,12556.6,575.284,1.968
77690.2,52607,96783.8,51572.8,40187,84103.7,19841.8,605.545,1.983
58102,42166,90304.3,49757.8,37942,85945,24140.3,481.243,1.996
91874.9,61603,97740.6,74226.4,54891,88621.1,27323.5,447.643,2.029
104666,66845,102617,58272.2,38480,99244.5,38405.6,518.465,2.086
119188,79639,98081.2,81886.7,57531,93280.6,35950.9,390.896,2.2
63951.7,46600,89938.6,43368,34721,81857.2,13350.5,452.272,2.257
76055.5,49747,100194,53598.5,38827,90468.7,36431.2,461.885,2.287
100013,52459,124944,72582.1,43231,110031,21977.7,596.925,2.452
65816.8,43315,99581.4,68491.8,49571,90550.5,18609.1,522.416,2.505
109847,59713,120558,100440,56065,117407,24746.6,438.273,2.535
81072.2,56719,93675,45099.6,33295,88771.5,17489.9,483.27,2.722
99056.1,61855,104951,135736,93698,94938.7,58979.5,555.272,2.796
77228.2,52136,97077.4,78670.8,53781,95866,19944.6,385.589,2.912
64941.2,43031,98905.2,61138.7,45147,88749.8,30832.9,535.923,2.958
85231,56910,98149.6,77631.1,56458,90113.5,46611.5,408.215,2.96
104802,57049,120393,109488,47460,151188,22756.1,566.664,3.038
77919.8,47431,107663,77149,52551,96212,43271.5,410.555,3.091
75509.8,49979,99013.8,76377.6,57430,87158,19991.5,545.115,3.116
61839.7,46091,87928.8,31990.9,25887,80988.8,23508.4,386.944,3.295
56697.5,43075,86261.8,38024.2,30803,80899.8,18081.3,573.331,3.329
110923,73496,98909.2,94016.5,66485,92674.5,42664.1,432.325,3.418
89401.1,59047,99225.9,50268.7,36119,91209.8,20428.5,439.617,3.471
120001,63924,123027,118273,66860,115931,48431.5,496.076,3.549
102910,55954,120533,155247,73694,138061,26229.8,486.935,3.552
94542.5,63683,97293.4,89168.8,59719,97854.4,30999.8,439.982,3.628
107529,63195,111513,99815.8,61259,106785,24929.7,446.741,3.719
119566,72502,108078,137309,84526,106460,34400,496.468,3.739
68330.1,41262,108528,57386.9,39866,94338.8,14313.5,397.089,3.8
81909,47759,112397,71958.9,49954,94404.8,23845.4,577.722,3.861
82080,55719,96541.5,57234.1,44731,83854.4,22062.6,405.589,3.909
89601,59705,98351.7,91709.3,60548,99264.4,52492.9,399.878,3.969
64103,42487,98878.5,71327.1,51963,89958.1,22868.8,483.446,4.022
86130.8,54662,103265,54423.7,36770,97000.6,15547.4,528.448,4.058
101840,69731,95713.3,76969.6,52923,95313.6,35209.1,585.455,4.191
