"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
67192.4,51247,85927.3,31136,24491,83317.6,14373.7,4.88491,0.212
106175,65950,105509,50977.7,33006,101220,16841.8,-3.22738,0.223
76302.5,57539,86907.3,35833.2,28923,81193.7,9448.05,3.61878,0.233
126477,78171,106034,71958.9,45723,103141,13762.9,7.04507,0.249
64939,47574,89457.3,37621.7,29466,83675.4,17163.8,5.76146,0.253
87703.2,60195,95485,39298.7,29427,87521,5821.23,-3.56275,0.254
64107.5,44975,93415.2,43574.7,33455,85359.8,16383.7,6.87274,0.256
80193.7,54251,96875.1,52254.5,35579,96252.1,10082.9,6.22703,0.256
69101.5,51950,87172.9,27917.8,21591,84739.9,16464.1,6.33746,0.263
66033.4,46081,93912.1,24636.3,18745,86133.1,18148.9,6.75668,0.279
90640.6,66206,89723.4,38648.2,29571,85653.2,7590.1,3.21094,0.286
108492,79686,89226.5,32866.1,25466,84579.9,12400.5,-3.46535,0.289
74184.4,53133,91501.4,27442.7,20976,85740.2,8652.36,7.38109,0.303
77586.1,57605,88268.1,31437.1,24349,84613.9,6228.13,7.01049,0.303
64297.5,50386,83630.4,30247.6,23774,83381.4,16485.4,-3.73394,0.308
74330.3,55361,87991.7,34564.1,26777,84594.8,14564.1,3.81239,0.309
65180.6,48058,88885.9,23925.7,19002,82517.4,13740.5,-2.49346,0.32
127836,81456,102851,86336.6,57064,99154.6,13556.2,7.58866,0.321
59212.4,44087,88020.1,34790.3,27867,81817.9,15688.3,-5.27153,0.323
61272.7,39522,101603,54359,38450,92652,12726.9,15.0632,0.325
86206,62383,90563.1,41139.5,32002,84248.5,11359.8,5.61308,0.331
100150,71143,92256.6,61680.8,45799,88262.1,7532.24,9.04474,0.334
85499.2,57039,98235.9,34031.4,24818,89865.5,15943.7,9.55167,0.335
104050,54483,125159,52129,31667,107883,7299.06,7.47008,0.34
72038.9,51278,92069.5,55779.4,39710,92056.3,9584.69,-2.22021,0.341
72941.8,53294,89697,36377.6,27134,87861.9,17965.6,5.70873,0.344
82900.8,60404,89944.2,42082.6,32184,85692.4,16701.3,3.67187,0.351
98192,59662,107859,49874.8,34023,96070.1,5514.65,-1.9526,0.355
83346.2,61603,88667.3,42979.6,32487,86702.6,18103.1,-2.2503,0.379
