"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
105511,66460,104044,74536,51009,95763.4,16403.9,1912.22,0.759
87597.6,59803,95995.1,35305.9,24239,95458.1,2769.66,1262.28,0.766
84609.3,52543,105532,38863.5,25538,99732.1,3985.6,2007.38,0.768
100897,65586,100820,42987.4,29150,96645.6,22786.3,3540.49,0.775
107510,72326,97416.5,46657.3,34082,89716.9,3268.54,759.805,0.782
110439,73099,99013.1,60822.1,41579,95866.5,10226.1,2372.67,0.792
76522.9,54572,91897,34543.9,25381,89195.3,4026.99,1844.14,0.794
88986.1,58113,100353,37311.3,27133,90120.3,2611.29,1231.55,0.798
87453.2,56103,102157,59281.6,42671,91047.2,7756.39,2769.8,0.803
103230,63770,106089,50105.6,32743,100288,5287.37,881.042,0.808
92650.8,65319,92958.6,52987.7,38963,89125.7,2586.19,1430.83,0.822
87245.7,53770,106337,50712.5,34094,97480.3,2240.8,618.363,0.829
61360.9,42921,93691.8,24488.1,19252,83360.3,2620.87,1190.21,0.832
88241.3,58591,98700.9,37699,27167,90942.7,1631.06,609.393,0.834
88771,62104,93676.7,53116.4,37112,93798.2,4196.72,1276.49,0.836
84974.1,54493,102194,36225.5,25168,94329.2,7850.55,3391.48,0.838
70616.2,53213,86969.4,23793.9,19488,80016.3,1439.58,882.885,0.84
102530,63209,106305,60725.3,37012,107524,3667.02,1957.05,0.84
96327,67487,93542.2,39870.5,30351,86091.1,3562.35,1834.1,0.851
72538.2,54467,87279.7,28254.7,21971,84279.3,2523.63,953.834,0.855
65253.6,47832,89405.8,46777.4,35537,86265.1,16532.9,2451.22,0.855
58229.7,45736,83438.4,27526.2,22709,79438,5132.93,1815.97,0.862
112458,78194,94253.3,35773.1,25706,91201.6,915.91,443.55,0.875
83989.9,54294,101381,38276.9,25358,98924.1,26497.5,2573,0.876
112552,69076,106784,52852,33324,103940,7792.96,3386.19,0.883
74736.9,55232,88679.7,32430.8,25868,82162.8,23592.8,2253.07,0.886
68422,51005,87915,43851.6,34473,83365.5,1307.96,810.284,0.886
89109.2,63950,91319.2,34189.7,23943,93583,1412.36,879.707,0.89
91039.6,62770,95051.4,64902.2,46918,90656.7,20437.7,3861.83,0.892
86352.7,59042,95850.6,45343.7,31610,94009.7,4947.77,3182.32,0.902
82274.6,53215,101324,26581.6,19211,90680,2888.22,1359.26,0.902
88852.4,62565,93071.7,47760.2,36121,86653.5,3604.55,1669.79,0.951
88247.4,53722,107654,60565.4,38894,102052,1443.11,350.235,0.953
77557.2,52819,96230.4,31636.8,24391,85004.7,3131.05,961.744,0.961
112858,73700,100356,56719.3,37900,98077.9,6830,3082.03,0.967
84840.3,61732,90068.3,36475.9,28552,83723.9,20404.3,1212.89,0.968
87131.7,60408,94528.3,38351,29201,86071.5,2321.9,1135.11,0.97
69091.6,51066,88669.3,32485.4,24510,86861.1,11531.4,2003.7,0.975
88046,58119,99282.2,40673.9,29087,91642.4,9695.68,3599.65,0.976
71006.8,50304,92507.6,30501.1,22692,88089.3,7644.84,1738.43,0.976
83758.8,57610,95282.4,49129.1,36606,87956.2,4106.42,1204.42,0.98
87607.5,60221,95339.6,46771.1,33216,92280.6,6733,1739.55,0.988
113913,72731,102644,52876.2,36799,94168.2,2546.71,1289.32,0.997
59121.2,44946,86204.9,25470.1,20254,82413.8,993.805,480.115,1.004
94124.5,60394,102138,37078.1,25978,93538.7,3315.3,761.392,1.012
78938.2,46904,110295,65155,39781,107338,15553.2,2161.91,1.015
96778.4,65419,96951.5,55823,37819,96734.9,3525.75,541.958,1.017
96819.4,54204,117061,43307.2,27841,101942,18153.1,3797.85,1.034
82690.3,58172,93158.1,37133.5,28769,84590.3,1867,851.587,1.038
67862.7,48859,91026.2,37385.4,29311,83589.4,5228,2786.93,1.043
96011.6,64555,97470.6,48604.1,32223,98852.4,2272.82,1164.79,1.048
71304,52874,88379.5,26231.4,21354,80504.9,16255.5,1792.45,1.049
101306,53389,124355,79941.4,49264,106346,9380.55,3342.09,1.055
76769.1,55662,90387.4,27212.6,21518,82879.8,6062.04,3906.23,1.059
94444.4,64813,95498,43588.7,32112,88958.4,5343.68,1809.6,1.062
82045.8,57152,94081.6,37931.4,28172,88239.1,4535.73,1739.69,1.069
78362.8,53618,95781,31527.6,23622,87469,2228.37,842.023,1.071
77295.8,57015,88847.8,35361.3,27223,85127.9,3892.02,1619.42,1.086
125292,69951,117384,56121.8,31887,115345,10847,1661.9,1.095
86410.5,60735,93241.1,32630.5,24443,87488.2,1649.5,685.181,1.105
73001.8,50987,93832.7,35458.8,26363,88147.3,3266.39,1138.76,1.107
73365.1,50367,95460.4,34072.7,25691,86917.2,1429.96,603.576,1.109
92355.2,62800,96378.8,53745.1,37516,93886.3,5114.62,3153.16,1.117
80023.4,56633,92603.5,42690.2,31620,88480.2,11939.5,2544.27,1.121
82530.7,59106,91509,41045.9,29810,90237.7,8053.73,3859.46,1.14
58955.5,41842,92340.4,28741.4,21606,87179.4,1886.48,981.436,1.14
70660.2,49218,94087.3,40188.7,27402,96117.4,2709.46,1526.22,1.144
110963,66687,109048,54571.1,35755,100024,7738.06,3560.03,1.144
71669.5,50370,93248.6,30235.1,23462,84455.3,10016.3,1470.62,1.144
66621.6,34029,128306,60682.4,31200,127464,8872.41,2325.06,1.157
80716.6,51880,101963,45884.3,31093,96712.2,4684.35,658.482,1.165
66788.8,47928,91326,22400.8,18181,80746.9,696.608,351.874,1.169
91975.2,57090,105582,49154,31982,100724,39442.2,1711.43,1.173
94032.5,62283,98943.8,50074.4,34326,95603.3,2577.91,934.75,1.174
92966.2,66088,92189.8,47816.3,33845,92589.5,5899.51,2145.05,1.174
79316.6,58614,88683.5,32196.1,24774,85170,7528.89,3726.46,1.176
93737.6,61602,99723.9,52293.5,37650,91025.5,7752.48,2963.78,1.177
71288.8,49147,95061.4,24743.9,18587,87244.8,898.931,403.801,1.18
80819.2,57479,92147.8,38761.3,29387,86441.7,1577.34,540.496,1.182
140219,78847,116547,91855.1,57199,105243,35911.4,3248.13,1.19
97241.2,70534,90350.8,51107.2,38602,86766.5,2114.64,868.001,1.193
85267.4,59679,93635.7,46268.8,33691,90002.5,1684.24,764.679,1.196
86989.6,59503,95809.5,36620.2,27323,87836,1043.57,583.461,1.198
60755.9,42071,94642.4,51435.5,37727,89349.3,4686.7,2689.44,1.2
84046.1,58131,94752.3,32958.9,23471,92028.2,27668.4,3697.58,1.202
90441.5,63881,92784.6,46409.2,35540,85578.9,1641.69,685.712,1.203
67025.9,51623,85090.2,38262.1,31167,80455.2,1781.2,980.383,1.208
69473.1,49331,92294.7,43056.8,32147,87777,3184.66,1486.44,1.21
85086.6,59498,93721.4,38218.4,28131,89036.4,13373.4,3599.94,1.228
89548.5,63468,92466.3,38920.4,28421,89746.7,1902.68,795.405,1.232
74652.5,53462,91512.2,25158.1,19062,86494.7,1075.81,636.989,1.233
73102.9,48507,98766.6,69749.9,50198,91062,4373.38,2969.83,1.233
87786.8,57391,100246,38649.8,26431,95832.6,19043.1,2152.67,1.24
99730.2,67625,96649.5,53754.5,37892,92970.9,2306.1,1046.6,1.243
87663,61327,93679.5,40260.5,26459,99720.7,5974.18,2733.88,1.249
74812.1,52682,93065.7,45527.8,33438,89231.1,16194.1,3460.36,1.253
75901.2,51307,96950.9,45328.1,32934,90199.3,6128.4,4032.9,1.255
95408.9,66721,93714.4,56989.9,42329,88234.8,4935.47,1498.52,1.255
100695,67788,97350.2,49803.8,34881,93573.6,26220.1,3238.7,1.256
75458.1,55599,88944.5,30996.4,23583,86137.5,1431.63,631.136,1.265
81366.4,60215,88556.4,41435.9,32371,83888.2,18066.9,1363.56,1.265
86006.2,58205,96838.8,34866,25696,88923.5,10106.4,3389.75,1.269
69580.3,51491,88559.4,31344.3,24363,84315.6,2891.79,1888.73,1.271
87990.5,62350,92486.7,35125,25847,89060.6,20998,3628.06,1.274
64894.9,50038,84994.4,39080.3,32210,79514.7,8866.87,2940.92,1.274
64011,48745,86060.6,27782.8,21700,83906.7,1427.16,944.896,1.275
77336.8,52489,96560.2,37211.5,28420,85808.9,4959.82,1620.41,1.281
85779.7,59265,94856.3,40191.8,28829,91366.8,1986.48,1103.86,1.296
79683,56567,92317.1,43399.2,32203,88321.3,2844.17,1438.76,1.299
73435,54368,88519.7,31408.3,25512,80682.5,5908.81,3372.53,1.306
57156.6,43549,86013.7,24319.6,20208,78870.3,861.778,520.933,1.313
75218.7,50422,97765.5,33497.9,24146,90918.5,26171.9,3522.78,1.314
61814.6,45360,89309.6,34254.5,26284,85409.4,1640.52,540.492,1.316
96635.5,65815,96225.9,36490,26807,89208.3,3140.73,884.363,1.324
110801,72966,99518.5,52677.3,37914,91055,1005.93,494.954,1.324
85865.6,59623,94381.1,52084.5,40747,83770.8,1733.04,1230.02,1.33
74749,55281,88615.5,29743,22749,85684.4,7096.82,3917.82,1.336
95553.3,67322,93018.3,51065,37002,90443.7,6520.02,3643.32,1.338
75319,54906,89901.1,28554.2,22403,83530.4,13470.5,3132.47,1.342
85291.8,60750,92011.2,42460.9,31114,89436.1,2376.51,1005.78,1.343
69800.7,51548,88741.7,27242.3,21656,82441.4,1153.89,472.684,1.344
74103.8,54903,88455.4,43557.5,33339,85623.1,979.588,455.206,1.35
121955,70407,113518,63988.9,42215,99338.5,5968.17,2208.65,1.353
98288.5,68902,93486.9,49501.9,36802,88151.7,3325.29,1573.88,1.354
75704.4,51835,95714.5,43861,31663,90783.3,4230.44,1720.63,1.36
82561.1,57822,93575.5,92362.9,70046,86416,3743.26,1094.73,1.361
77744.2,53050,96042.3,33159.4,24778,87704.1,1868.52,627.397,1.369
86092,57897,97451.1,47406.8,34068,91195.7,47797.6,2449.7,1.372
95133.8,62854,99193.1,47083.1,31810,97002.2,6181.09,2951.16,1.377
77330,57557,88050.1,30016.7,23149,84978.9,2150.39,551.059,1.379
108276,65782,107872,51824.8,33546,101246,5088.86,542.385,1.382
101436,51225,129774,54750.5,32212,111391,20525.4,4044.67,1.383
79102.3,53415,97052.3,30739.8,20859,96580.1,2215.13,776.834,1.39
84344.8,58923,93810.9,29940.3,23291,84245.7,869.035,414.403,1.39
72535.9,56187,84605.2,24945.2,19135,85435.5,16942.6,2279.48,1.392
56335,43239,85385.2,22350.1,17315,84593.6,8947.14,1686.4,1.399
75686.9,57747,85895.6,46498.9,37075,82194.3,1868.83,936.917,1.407
66916.5,50590,86685.9,25775.1,20574,82103.5,1064.21,665.08,1.409
117683,76855,100351,53836.4,39031,90395.3,1904.78,708.485,1.414
99624.6,69721,93644.6,47488,35764,87019.7,28050.6,3344.58,1.421
120034,72890,107924,63014.6,40090,103011,13069.4,3850.12,1.429
67748.7,52834,84036.4,27941.9,23206,78910.8,5125.6,2860.6,1.43
87981.4,60930,94632.4,42118.4,30994,89058.3,26090.5,3502.11,1.437
93739.9,67075,91589.1,51880.1,38851,87514.3,2254.99,1192.35,1.449
61765.2,47531,85162.2,27571.4,21526,83941.4,2907.41,1243.19,1.451
120220,74006,106461,95770,65746,95464.1,31633.5,1746.92,1.456
100085,62851,104361,54723.2,35635,100641,2645.22,634.766,1.456
86437.8,61214,92540.8,36032.1,27354,86327.4,19573.3,3321.28,1.463
67459.9,48846,90510,40320.5,30938,85411,28550.1,2235.78,1.464
71590.5,52831,88806.8,24492.8,19599,81900,956.333,578.167,1.477
85401.2,59208,94528.7,37101.5,26357,92251.9,30729.2,2209.67,1.478
73600.7,54186,89017.4,25909.3,20647,82239,1789.66,953.352,1.499
131714,78770,109585,77368.2,49274,102902,2677.72,1613.14,1.507
98819.8,55029,117688,40651.3,26105,102054,5020.68,2103.24,1.509
100649,72162,91407.4,44222.9,31778,91201.2,1855.09,924.728,1.518
85359.4,58767,95191.4,39354.1,30578,84345.3,1775.19,777.393,1.519
91395.3,54741,109419,51682,34489,98206.2,3233.6,1397.93,1.522
88625.1,57110,101701,47658,32154,97136.1,4596.61,964.298,1.531
60060.5,47850,82259.7,25841.4,21246,79711.1,2044.81,756.175,1.532
120477,78641,100400,54054,38157,92839.7,5249.78,2338.01,1.536
77479,58856,86272.6,38524.2,30609,82483,4209.79,1026.33,1.538
80563,57666,91557.9,28739.9,22082,85295.6,2557.89,1246.39,1.54
63375.6,45391,91502.4,25312.6,19051,87076,644.63,340.218,1.544
71837.5,50093,93984,36465.8,26688,89546.7,2553.74,1579.23,1.549
