"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
84454.2,60459,91546.2,74942.4,55622,88300,27013.9,1767.36,0.124
57555.6,44494,84774.6,27906.8,22666,80689.3,7722.79,837.952,0.151
105861,67039,103488,79518.7,53195,97966.6,33329.7,1182.36,0.172
80750,52583,100642,54372.2,38895,91614.3,39057,1353.7,0.211
55619.8,37656,96800,48903.7,35761,89621.4,11831.6,1203.38,0.219
74595.5,51854,94278,48672,35358,90213.5,29496,859.841,0.226
88105.3,61787,93451.2,54508,36726,97267.2,28316.6,1409,0.229
78902.4,50566,102261,91937,57666,104484,33594.2,757.811,0.23
88952.7,58893,98986.4,55699,39472,92478,28087.7,1230.93,0.244
95327.6,62678,99674.3,84125.3,58658,93989.5,29967.3,882.599,0.249
96415.1,65805,96021,82871.1,58880,92239.1,15363.8,737.81,0.251
59604.5,41015,95239.4,53079,39759,87491.8,25252.4,779.56,0.255
99063.7,63855,101672,66094.1,43359,99899.5,20928,1232.46,0.266
62313.2,40182,101631,52974.5,36690,94623.5,14449.9,787.69,0.269
69288.4,35174,129098,82780.6,47542,114112,22581.8,968.415,0.288
87707,55652,103284,67211,45004,97874.5,36888.3,1140.25,0.295
80091.1,52500,99978.1,86743,57368,99093.4,27386.1,1018.45,0.295
125907,84998,97078,80818.9,56722,93377.3,4157.69,729.537,0.309
73228.3,46195,103888,82128.5,53507,100592,108395,1592.94,0.314
80518.2,53062,99446.7,81923.4,57198,93865.7,25367.9,1643.98,0.316
105623,58711,117901,118300,54211,143014,37141.9,1455.59,0.351
86780.6,60819,93511.1,46070.7,34291,88049,21133.8,1365.48,0.388
71917.3,49067,96055.8,43445.2,32662,87172.4,13708.5,740.039,0.395
95592,64150,97657.4,82221.4,57946,92991,35154,1571.79,0.404
90195.3,58617,100842,93929.2,62388,98668.7,23128.4,1297.51,0.405
90000.7,62614,94200.8,50041.7,37102,88392.3,22483.5,1193.14,0.41
99534.9,63459,102793,60677.8,41403,96045.6,25112.8,1195.09,0.418
87688,52840,108757,72802.9,49132,97110,37574.6,1014.07,0.442
87935.8,59695,96540.1,75867.5,55099,90238.5,37333.3,1540.91,0.451
111459,68131,107214,109787,69415,103652,27940.8,820.193,0.465
60084.8,41854,94082.3,58428.2,41626,91989.5,7553.64,1284.75,0.475
79486.9,54323,95894.1,55078.1,39847,90586.5,9688.58,862.203,0.518
67142.2,48427,90863.2,45957.6,33935,88754.3,10979.6,1242.66,0.566
89753.7,52426,112198,85543.4,57550,97413.9,33134.1,1752.65,0.591
67161.2,46078,95522.3,54341,40371,88214.2,28519.2,1543.6,0.605
86278.2,52458,107788,109149,68803,103967,19070.5,859.996,0.619
103381,56946,118975,151486,70962,139903,53656.8,1265.82,0.634
68495.8,45024,99701,59047.6,42680,90668.7,9871.56,1036.56,0.649
86811.8,57649,98688.5,63236.9,45073,91946.3,16335.3,1073.77,0.738
86549.6,60335,94010.3,53730.3,38251,92056.9,15367.1,1694.46,0.743
83203.3,53385,102141,60056.9,43892,89672.1,16346.9,1176.06,0.792
69055.9,47698,94881.3,73592.2,52582,91722.3,21917.5,1696.15,0.798
79755.9,51544,101406,82630.1,57608,94001.6,32750.8,1413.48,0.842
89183,60849,96052.4,67453.6,48861,90473.8,39070.6,916.981,0.866
65228.5,45823,93289.8,38520.3,28719,87902.3,18627.4,1214.07,0.877
107724,74752,94442.9,80162.2,57904,90727.9,9287.4,776.369,0.88
81517.6,49166,108659,62217.5,38762,105193,20170.3,1730.71,0.895
87397,60430,94781.5,58322.9,44499,85895.2,32597.7,1357.84,0.959
83553.6,53082,103157,94867.5,62659,99223.4,15900.6,858.084,0.977
89981,63446,92945.1,53755.3,40258,87508.2,20679.1,1396.25,0.996
68397.7,47548,94273.4,77773,57400,88796.7,23839.5,1756.44,1.008
84115.3,53163,103692,57606.9,40815,92498.5,19631.3,827.629,1.028
89075,56611,103118,58457.9,36795,104120,17668.1,985.168,1.045
81496.3,50286,106211,103685,57790,117582,49916.3,1602.09,1.068
68957.8,48792,92622.2,54712.3,42113,85143,14479.1,1000.22,1.09
84148.7,53966,102190,79943.8,50903,102925,16649,1130.99,1.12
84122.1,57511,95860.4,49856,36503,89509.5,20490.5,938.873,1.143
104761,55847,122937,80412.5,37239,141516,15276.4,1480.88,1.168
89477.8,61452,95424.4,53301.3,36817,94878.8,23408.4,1134.25,1.175
99969.6,67009,97772.1,91033,62413,95588.1,35954.5,1788.51,1.19
85954.5,60526,93069.3,52561.9,38458,89570.3,15505,1378.04,1.21
78195.6,52658,97319.1,61993.6,43154,94146.9,35901.3,1052.87,1.259
64623.6,43692,96932.4,52746.7,39201,88181.7,20111.9,1113.8,1.263
87799,57673,99769.3,70477.7,48153,95919.8,21716.2,1151.85,1.276
59788.4,41855,93615.9,54977.5,41163,87530.2,21476.1,1115.3,1.28
80319.1,54171,97169.9,51122.8,36363,92137.1,11797.3,813.304,1.281
109684,65651,109492,85767.2,56431,99605.6,20109.8,1102.14,1.297
66227.9,47055,92239.1,49991.8,38623,84826.6,13566.5,1162.99,1.301
66231.7,48523,89453.7,42864.9,33846,82999.3,16227,1067.41,1.304
103654,65282,104057,78090.5,55650,91962.9,39838.7,925.411,1.325
130501,86503,98869.7,85339,56727,98591.1,21056.9,1707.87,1.337
73976.1,52867,91703.7,62009.2,47119,86246.2,10707,874.326,1.34
121489,77615,102582,44558.3,30370,96153.2,22967.3,831.65,1.341
69302.9,49362,92010.7,42527.2,32922,84656.5,21415.8,800.482,1.403
75762.9,53296,93162.7,48165.8,35096,89941.7,24896.4,825.163,1.497
132063,85821,100848,72175.7,48864,96801.5,31679.6,1261.44,1.585
120601,74018,106781,151354,100858,98347.7,65796,1003.2,1.589
