"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
80051.6,58719,89345.2,53553.2,42546,82491.1,2037.43,-2.78396,0.211
55145.6,41649,86773.3,43386.7,35449,80210.8,1270.74,-4.85355,0.212
72976.7,52127,91749,31810,24815,84009.6,1066.3,-1.66011,0.217
80363.9,55470,94947.4,43527.9,30723,92850.5,1807.13,5.18118,0.218
75005.2,57561,85397,40407.1,32244,82127.5,2780.72,-0.712836,0.229
85493.2,60895,92008.9,52074.4,37387,91281.6,1503.05,0.431172,0.242
85434.6,62578,89473,42307.2,31606,87725.3,2289.39,-3.86053,0.255
81283.5,56587,94138.2,37390.9,28447,86140.8,1592.81,-2.22473,0.26
86690.9,59177,96006.5,43994.3,32964,87465.5,1189.72,-9.08823,0.263
54932.8,38798,92790.3,30607.2,22842,87815.1,1791.8,-5.94781,0.263
64758.1,45078,94147.6,32258.5,26246,80549,1379.66,6.79928,0.268
66945.4,50764,86426,29608.8,24721,78493.7,2418.58,8.32097,0.269
84315.9,52068,106125,72664,46236,102996,1462.48,0.96384,0.273
70447.4,55727,82847.5,37276.2,31099,78553.4,2433.55,1.95999,0.275
71454.4,47866,97832.2,39173.9,29470,87115.8,2729.95,1.9405,0.276
73519.4,50531,95350.7,34908.9,25943,88185.2,2551.28,4.07225,0.28
104218,72307,94458.8,50125.1,35507,92517,1940.26,15.7724,0.281
83261,52043,104848,41740.9,28415,96270.7,2674.53,3.53414,0.289
66718.9,47885,91312.3,39176.3,29568,86832.3,869.483,8.95283,0.292
82871.9,57446,94542.6,34383.2,25622,87945.4,1466.86,13.1536,0.295
112318,65555,112286,94369.9,59747,103514,1115.11,12.1167,0.3
57892.2,45365,83633.3,42400,35737,77754.9,3435.94,-1.81592,0.306
57804.1,42686,88746.9,23076.3,18846,80246.7,401.739,-1.61641,0.308
106801,70007,99980.4,59734,43163,90696.3,1662.02,6.78072,0.314
63785.3,49390,84637.2,33070.4,26526,81704.9,1112.96,4.16682,0.316
111807,79243,92467.6,83961.5,60939,90295.3,1288.98,14.7552,0.318
83981.5,58406,94233.7,37733.3,27774,89036.1,1160.18,-13.3263,0.368
59851.5,45796,85650,26668.2,21748,80362.7,701.847,6.31385,0.374
98254.3,64551,99753.6,53725.6,38003,92649.6,1526.21,10.4996,0.393
102445,70419,95341.2,52813,39631,87334.5,732.408,0.481843,0.393
70445.2,52332,88219.3,31099.4,24984,81577.4,1796.15,7.8319,0.4
115104,74678,101013,58397,38290,99950.6,1973.27,5.17025,0.404
84462.6,60204,91943.1,35308.3,25809,89657.2,1383.03,-3.80094,0.418
69192.7,51953,87283,36415.1,29193,81749,560.693,5.26313,0.424
82254.8,57633,93534.1,43003,32297,87260.2,4676.34,-9.84748,0.434
65104.6,48930,87200,30694.6,24514,82059.2,1600.86,-12.2953,0.436
86037.3,60474,93239.1,26775.1,21166,82903.3,4434.97,4.47839,0.443
58787.5,43027,89541.4,33592.3,21783,101065,3953.84,-0.789971,0.445
94366.2,62509,98935.8,59467.2,39760,98019.2,4428.02,1.82885,0.467
89394.2,58958,99368,94273.1,67498,91532.9,4888.38,-5.09142,0.468
65351.6,46947,91228.1,29677.4,23387,83163.3,1290.08,1.50517,0.47
68599.1,51127,87932.2,29231.3,23331,82109.7,1109.19,-1.13293,0.474
72915.9,55586,85968,42167.6,33990,81303.2,2950.14,-7.61398,0.489
83117.4,60390,90200.1,36837.1,29174,82750.2,3604.3,3.47301,0.494
74751.3,57627,85010.5,36511.8,30491,78476.8,234.819,-1.60544,0.499
101842,61546,108444,46298.5,31738,95602,1368.2,-3.26996,0.512
66650.5,50763,86047,23505.3,18943,81319.9,464.919,-1.62057,0.521
