"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
119438,76891,101800,80343.9,52123,101019,31479,10.6502,0.706
85976.5,60759,92736.2,62687.8,44767,91770.9,30625.1,2.22635,0.724
84320.5,54607,101196,34532.9,24063,94051.1,33196.7,4.70727,0.729
98885.1,65209,99381,41630.2,27668,98607.6,46994.4,-7.85995,0.73
87880.3,67447,85390.4,39115.4,29695,86326.6,31126.3,14.9134,0.739
137918,75063,120413,79390.7,43607,119315,35889.3,2.41022,0.742
101306,72174,91988.4,49190.7,33203,97092.5,44616.4,14.0264,0.75
90673.3,62531,95030.7,58854.1,45111,85501.6,32527.5,3.69127,0.75
107865,69260,102065,55067.2,38533,93657,36226.2,6.09807,0.752
85416.4,59782,93637.7,37982.1,28930,86042,40279.5,-10.5984,0.754
107455,74118,95012.9,68603.3,49590,90663.2,30054,8.0939,0.766
89365.4,51363,114025,52362.2,29127,117815,29261.3,14.506,0.769
161254,95441,110727,85944.3,52041,108231,49629.8,2.03677,0.77
115756,76483,99187.5,54883.1,38175,94219.3,36979,-0.311427,0.805
64210.9,46820,89878.8,36363.6,29052,82029.6,35200.4,10.4055,0.808
97391.7,57331,111330,42494.4,27179,102466,31632.3,-9.49987,0.81
101851,71283,93639.2,63096.5,46611,88715,32843.7,-8.51952,0.813
103071,71314,94720.2,65975.5,45190,95679.8,33678.1,-0.624384,0.82
130117,90504,94220.9,90520.6,60689,97750.1,40430.3,9.00165,0.821
109533,60529,118593,150951,90713,109055,46990.7,14.9303,0.829
112198,77193,95254.9,58585.8,38665,99301.1,43928.8,1.35162,0.831
108070,70085,101056,82688.6,58233,93058.5,48087.6,6.37817,0.841
102300,66085,101450,67400.6,45757,96535.3,43906.9,4.00306,0.842
66540.3,50863,85735.9,30997.2,25451,79817.4,34447.9,0.384998,0.848
94206.6,63209,97674.7,62431.2,43044,95053.7,39573.1,6.40801,0.852
101032,65998,100325,53384.8,33619,104067,39988.7,12.2107,0.863
103304,69542,97352.9,57727.8,38594,98026.9,48151.7,1.60395,0.866
99683.1,54179,120579,136630,68711,130317,45967.6,5.45756,0.872
84765.8,59640,93145.8,49750,36444,89463.6,32002.6,1.07578,0.894
151028,85689,115508,71112.6,40905,113933,38389.9,4.8958,0.895
94647.4,50330,123243,94724,44842,138438,76441.5,0.273853,0.898
78694.2,49523,104140,89865.4,53351,110390,36394.1,-1.86296,0.899
100974,65242,101429,43696.4,29331,97633.4,40490.7,-3.72232,0.9
67206,40029,110031,68356.9,47184,94943.9,31228.1,0.596708,0.917
69252,50404,90042.4,37396.3,29820,82186.6,33787.2,0.958438,0.918
97558.9,61352,104212,45974.8,32069,93953.7,33136.1,-6.41875,0.919
77431.8,54843,92529.1,38988.3,27723,92166.7,39294.3,22.3263,0.925
139464,77039,118640,79509.3,47307,110147,58885.5,-9.17181,0.941
93439,62403,98130.2,64091.8,43667,96189.8,29755.2,8.11355,0.941
92039,56069,107579,83521.6,55117,99310.1,69407,-9.33361,0.943
71167.2,52795,88341.9,32664.8,24879,86045.4,34176.6,-3.30716,0.943
90096.5,48386,122030,114993,58058,129804,41386.7,5.22876,0.951
148263,85730,113339,169495,106062,104731,36325.2,5.56156,0.964
94337.3,68950,89666.2,57074.2,41302,90562.5,49681.4,-1.67662,0.97
110407,74642,96938.2,58372.9,41430,92337,36322.3,-0.798244,0.993
93586.4,57866,105991,68460.6,42782,104872,51978.4,0.822342,1.003
84014.2,62139,88607.1,36438.5,27471,86929.2,40593,-9.55905,1.009
110595,54508,132971,138866,52405,173661,38608.7,-9.95858,1.013
108201,66118,107249,85945.9,57110,98626.3,45749.2,3.88192,1.019
109323,76652,93469,66274.3,47144,92129.4,36794.9,0.760679,1.019
101738,66355,100482,66719.6,47995,91104,31503.5,-3.1314,1.02
127900,70051,119656,63961.6,34459,121646,86410.2,-9.9216,1.035
100533,66512,99057.6,51643.8,37660,89870.6,45735.3,-1.94717,1.047
147280,98778,97715.3,75025.1,53754,91469.3,59149,-1.23914,1.048
78125.7,53867,95049.8,54515.8,40342,88561.4,73773.1,1.5093,1.057
89093.3,64203,90943.1,43283,32838,86381.4,47721.2,-2.60774,1.076
94971.9,67937,91615.4,44477.2,32413,89928.6,34154.8,-5.95573,1.098
80753,60015,88181.8,42191.8,30351,91103.4,45963.1,-3.55215,1.112
92352.2,65342,92626.4,45322.7,31850,93258,56286,16.4391,1.124
102956,66214,101901,56542.2,38066,97345.4,31962,1.60845,1.127
124647,68429,119377,55799.6,31888,114679,58698,4.62052,1.134
72172.6,53023,89204.8,42845.4,33071,84905.7,29879.5,0.155381,1.139
108564,69434,102469,51505,34074,99061.7,34859,-1.76203,1.143
82329.3,43597,123759,113010,65264,113481,63094.1,5.92147,1.144
176135,108241,106643,96626.4,57945,109285,42791.5,5.1364,1.149
85911.9,55778,100942,42254.2,28082,98610.1,29550.9,8.12698,1.161
