"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
81655.2,57575,92945.8,27899,20299,90073,2248.4,207.612,0.316
70300,49012,94001.1,29494.9,20300,95220.6,15701.4,33.9476,0.466
68215.3,54066,82687.1,27994.2,23630,77639.8,409.96,206.673,1.007
89842.6,57106,103105,47963,34110,92151.9,730.887,192.342,1.012
65971.8,50540,85546.6,35273.2,26949,85779.1,932.569,-116.131,1.058
99453.6,54851,118827,58223.9,33327,114495,17278.6,-421.426,1.093
65438.3,41359,103691,53739.7,37506,93901.8,1057.89,184.9,1.322
81810.2,54330,98684.2,31902,22846,91514,1150.04,212.454,1.462
106446,69970,99700.1,64635.5,45982,92121.9,576.318,197.652,1.535
78335.5,56720,90511.2,24651.1,19532,82712.3,499.889,229.457,1.876
59404.6,44838,86826.9,26604.2,21402,81466,675.662,-233.244,2.026
58445.5,40096,95527.9,20170,14428,91617.9,2250.72,-307.548,2.105
81981.2,54547,98497.1,39720.7,27959,93105.5,968.454,206.106,3.14
81883.9,48924,109687,21696.5,14049,101210,5762.9,-365.549,3.205
69977,50261,91244,28352.2,21685,85685.5,826.453,240.036,3.427
62935.6,48566,84926.6,24961.6,20554,79589.4,520.021,-54.6242,3.57
72334.5,51042,92874.8,27020,21366,82878.5,649.963,119.737,3.601
56588.8,42227,87825.5,29136.1,23251,82124,280.493,206.152,3.866
92149.2,54798,110206,42772.9,28439,98567.5,1563.32,-40.3828,3.883
98648.8,60949,106073,50716.4,33641,98800.5,4016.22,225.516,4.017
71009.8,54614,85210.8,35908.1,30869,76234.1,489.826,226.278,4.084
85281.1,57600,97031,58575.7,43484,88281.1,1757.95,71.4344,4.131
73017.8,48502,98661.7,22412.5,16114,91152.2,20235.2,-50.6205,4.131
86405.2,51155,110696,24404.6,16399,97529.3,11929.1,-570.004,4.191
81112.5,58687,90578.7,40368.9,32031,82595.5,540.21,174.864,4.221
70730.2,50642,91532.2,33255.3,25998,83830.3,1350.01,39.1312,4.417
67934.1,48163,92438.8,31628.2,21699,95524.5,19108.2,170.464,5.004
83755,56052,97926.4,34185.1,24996,89628.4,680.244,93.2353,5.14
87303.5,57260,99921.8,46275.8,31029,97738.7,1622.55,-489.827,5.162
86193.1,59366,95151.3,38150.6,27550,90752.7,1319.94,185.943,5.232
101395,61422,108186,40446.9,27246,97288.7,24756.1,75.7522,5.475
82255.6,54219,99424.6,30299.9,19339,102680,1606.36,-465.446,5.808
54875.8,36526,98459.7,35059.4,23465,97918.4,3848.26,10.877,5.889
54745.1,43321,82818.3,27717.3,23188,78337.1,317.087,241.129,6.137
92018.5,55589,108484,34682.7,22205,102363,1039.43,12.6517,6.203
102837,65375,103090,57410.3,38530,97649.7,299.516,64.6403,6.256
73966.2,56533,85745.5,30997.2,25461,79786,301.504,175.94,6.754
88495.2,57610,100670,40163.8,29438,89414.1,1039.1,252.212,6.773
69697.3,38883,117473,36951.7,19867,121894,1404.97,24.2876,6.979
90763.8,56020,106182,44645.6,30320,96500.5,3532.74,253.108,7.155
82026.8,56392,95327.5,43616.8,33937,84228.8,674.096,250.646,7.174
64215.4,50715,82981.8,32877,26342,81794.4,619.33,257.539,7.207
58741.9,44735,86055.9,25953.7,20594,82592.2,380.138,52.975,7.573
67972.9,53101,83890.5,33121.9,27584,78693.4,461.464,237.94,7.692
68543.6,52845,85004.8,28264.1,23193,79865.2,383.859,253.845,7.704
67725.1,44954,98732.8,26338.3,18279,94431,3698.06,190.027,8.068
65223.2,46415,92092.4,31732.7,24235,85811.3,1121.59,66.7063,8.193
84202.7,59027,93487.9,41583.4,31447,86660.3,501.015,215.147,8.518
66149.6,48412,89547.7,27137,22172,80211.5,714.411,99.593,8.668
67592.1,51849,85435,23577.1,19812,77990.4,499.427,248.537,8.757
89578.9,52260,112335,47921.6,32172,97618.8,1086.37,232.599,8.949
70376.8,45317,101777,34962.7,25805,88793.5,863.942,76.7932,9.055
76842.8,54174,92959.2,43364.9,34030,83513.4,538.522,180.165,9.583
69024,52822,85637.7,26435.8,20166,85911.6,706.703,257.004,9.609
57567.7,41205,91560.7,20566.3,14905,90428.1,13188.5,247.173,9.835
70774.2,49130,94407.9,32897.3,25470,84646.9,640.368,193.938,9.902
77377.1,56296,90077.2,27331.2,21585,82982.5,453.395,249.07,9.923
78359.8,56190,91393.3,27664.3,22099,82040.1,310.723,181.77,9.961
101358,66314,100169,44375.8,32766,88756.9,711.87,236.863,9.967
74976.3,52251,94039.3,32224.1,24166,87388.9,2118.16,206.561,10.01
57461.3,45449,82857.4,24406.2,20612,77599.7,465.469,201.369,10.158
70745.4,52706,87966.6,28126.8,22862,80628,631.025,128.748,10.814
95209.8,50454,123670,67612.7,42126,105186,2097.48,126.532,10.94
63577,50051,83246.8,24053.6,20759,75937.1,795.854,247.458,11.098
108172,56179,126189,49969.9,28899,113320,2316.33,204.428,11.199
89398.8,63326,92518.7,47003.6,37418,82324.7,396.638,176.994,11.534
99135.9,67579,96138.9,55895.6,40139,91262.2,849.253,232.614,12.422
77159.8,56030,90250.6,45819.5,37582,79900.7,496.333,247.477,12.442
73242,50690,94692.9,27759.4,20994,86655.3,733.492,245.872,12.566
69091.6,50172,90249.3,25008.4,20293,80764.2,608.288,165.85,13.006
116073,74993,101436,88360.7,57785,100213,299.061,-13.2697,13.2
76450.7,52560,95324.8,45021.6,35100,84060.8,548.478,252.244,13.34
70765.1,42298,109643,33325.5,18935,115343,1404.46,13.1577,13.371
91295.8,61984,96527.5,36178.7,28220,84018.8,1059.06,200.8,13.752
59302.8,37807,102798,47011.4,33250,92659.8,3114.86,244.655,13.783
59983.8,45016,87326.6,27892,20017,91318.9,971.747,102.226,14.077
74001.2,52418,92520.6,24677.6,20142,80293.6,272.802,104.922,14.33
71573.8,53459,87743.1,29170.4,22931,83368.1,474.237,258.079,14.487
85620.8,62063,90412.1,40534.3,30498,87102.5,688.318,210.895,14.494
89184.5,57970,100824,41315.8,28854,93840.5,1398.11,179.048,14.64
65703.5,51075,84306.3,37385.4,29835,82121.3,609.388,152.6,14.723
79898,50676,103327,26468.5,18888,91838.3,13277.1,-127.543,14.796
80365.4,54544,96561.1,91568.1,69912,85836.6,349.857,79.477,15.183
73197.9,52987,90533.5,25190.1,19775,83482.1,537.75,244.295,15.432
79527.2,52330,99596.6,49178.2,36323,88730.1,2295.44,197.539,15.639
82199.3,60043,89719.3,40206.7,30646,85981.3,660.926,246.937,15.681
67535.9,52066,85008.1,20725.4,17522,77517.3,504.872,87.9468,16.001
70701.3,45560,101701,28820.2,20709,91204.9,4138.99,180.458,16.258
95723.5,61219,102474,39843.2,27611,94569.6,1738.91,149.346,16.261
62284.3,36331,112352,29552.6,13867,139667,910.789,139.33,16.321
70843.4,53260,87172.2,30384.1,23317,85399.2,712.368,248.523,16.412
104933,64243,107045,61116.1,40595,98665,9812.84,207.645,16.499
75853.3,48351,102813,37024.3,24866,97579.9,1891.88,-241.274,16.912
104175,59203,115318,68225,42535,105118,1242.59,191.248,16.927
74565.1,48442,100877,30971.5,21715,93472,4086.57,-425.329,16.939
66867.8,46302,94645,34813,24775,92088.9,1074.53,238.429,17.063
103801,60070,113246,50856.8,33634,99094.7,1491.64,214.022,17.321
89382.8,55915,104762,53668.7,37974,92622.1,4755.08,56.3973,17.355
116780,66835,114510,80876.6,51523,102873,20605,-85.6248,17.518
73339.2,54960,87452,38768.3,30764,82587.5,368.609,174.876,17.534
102383,65042,103160,47620.6,31258,99842,727.662,228.912,17.692
78819.6,55846,92495.8,44750.2,34746,84405.3,640.42,191.818,18.361
111723,56870,128748,59478.9,32154,121229,3724.23,107.875,18.392
75057.6,48859,100677,33182,22086,98461.2,1274.19,239.476,18.715
74465.6,51450,94852.8,43012.3,32675,86269.5,704.283,99.0637,18.874
80284.9,56963,92367.9,39199.7,30279,84844,311.392,121.88,19.133
105327,67900,101660,56733.3,39557,93992.8,2257.22,229.872,19.333
95177.8,65550,95157.5,48247.7,36350,86986.5,486.796,222.568,19.412
108278,64430,110137,52542.4,32682,105361,2447.97,115.379,19.809
106938,64618,108457,59381.4,40862,95238.1,1326.39,145.133,19.88
77318.6,54316,93290.2,28480.1,22209,84041.3,325.968,131.949,20.924
88866,59310,98194.7,41631.7,29095,93774.7,890.516,235.791,21.782
76117,47156,105785,42027.2,30236,91093.2,1568.09,245.817,22.216
108152,62526,113358,92195.2,61498,98248.8,3195.64,65.5099,22.318
81148.2,52057,102160,26779,18953,92596.7,18319.4,52.3255,22.343
74252.8,50555,96256.1,32380.9,24614,86215.8,416.7,186.003,22.402
62648.3,43913,93496.7,24795.4,17332,93756.8,10677.5,-195.742,22.57
67884.7,47431,93797.2,27285.2,21543,83004.3,699.992,211.954,22.71
68592.3,46867,95915.3,26299.3,19591,87976.5,1158.39,221.994,23.003
121082,69361,114405,69885.7,41121,111379,2092,256.382,23.053
55564.4,36850,98818.6,34657,20630,110096,1302.87,246.894,23.068
89289.4,54270,107825,45493.5,29246,101944,1444.05,214.555,23.099
83391,53734,101707,38304.2,26538,94592.9,991.971,169.005,23.729
