"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
71644.4,51167,91764,84741.5,57723,96211.6,20209.4,-17.7588,0.215
62738.8,46354,88701,27849.1,21830,83606,20294,2.37564,0.229
142070,82792,112459,67909.9,37793,117761,19319,0.319745,0.23
66652,48886,89352.9,30131.4,23758,83116.9,25383.6,-0.609007,0.235
74205.6,54783,88771,41637.2,32466,84049,26432.4,10.452,0.245
111560,61590,118708,62733.8,38230,107542,22853.8,6.44732,0.245
103951,74454,91499.5,47093.3,35058,88034.3,19895.3,6.64185,0.246
74751.3,52334,93608.4,33401.9,25194,86886.9,18851,2.47052,0.255
96121,68616,91806.4,54568.8,40897,87444.6,20704.5,-6.13135,0.266
85302.4,62617,89278.9,45362.5,34525,86107.9,24703.3,2.08572,0.272
86324.6,58458,96776.6,52268.6,36695,93349.9,22935.8,4.85194,0.274
91010.8,60992,97791.2,81533.4,59672,89545.7,27980,6.64027,0.296
68627.2,49658,90570.6,38895.5,30458,83690.8,19727.6,5.59288,0.299
73551.3,52973,90994.6,33290.4,24752,88143.2,22023.4,-3.56807,0.312
113236,56464,131430,96537.5,50376,125589,27505.5,-16.6485,0.313
96010,67572,93117.2,48354.5,36072,87851.1,24408.3,8.99512,0.322
79106.1,56794,91282.5,35383.9,26266,88286,25265.7,3.10874,0.331
128844,72316,116764,62545.9,36867,111184,26961.5,-2.83276,0.339
75059.9,46518,105747,84879.6,56514,98429.9,24320.8,13.7709,0.342
87771.6,63787,90178.3,41977.3,32667,84214.1,22166.9,-2.51751,0.344
89093.3,62593,93282.3,49987.1,37533,87281.9,22185.6,-3.57874,0.348
70157.1,50695,90695.7,34504.9,26267,86089.4,27367.8,3.50053,0.35
74486.8,56062,87074.5,41079.5,31610,85168.8,22031.5,13.9214,0.352
72741.1,47846,99635.5,36817.6,25950,92981.7,22298,-4.64612,0.359
80151.1,57154,91905.8,37455.6,28642,85702.5,18945.3,4.58432,0.381
102671,69650,96607,48916.9,35230,90996.9,26265.8,-4.90702,0.383
67240.2,50938,86510.2,34898.8,28339,80705.9,21130.2,-1.38934,0.391
86991.9,58218,97926.8,37067.2,27223,89234.6,21771.6,-8.85151,0.405
82989.7,56806,95743.7,47415.4,33718,92159,20309.6,1.31461,0.405
85706,53786,104429,34926.1,24295,94213.4,28386.7,-6.10647,0.405
86599,63250,89728.8,56163.1,42690,86219.4,28136.7,10.87,0.429
71424,53496,87499,29401.3,22577,85345.5,20260.6,-2.39216,0.432
75256,54287,90850,35935.4,26690,88237.6,28476.9,3.9576,0.438
97110.5,65154,97679.9,61390.7,43918,91609.4,24684.7,-2.68306,0.441
82231.2,58911,91478.8,35653,26907,86838.2,23462.4,1.63731,0.442
80275.8,58198,90397.5,41891.5,30842,89014.9,22439.8,2.76455,0.444
109472,73804,97208.2,71389.5,51537,90781,24715.2,-3.21506,0.454
61270.4,44610,90011.6,31608.7,23686,87457.1,19868.5,-14.5564,0.459
71953.8,48252,97727.8,32087.6,23393,89894.2,24264.2,3.17459,0.467
95722.8,55475,113083,60340,38119,103739,20925.1,0.214146,0.471
85172.4,59066,94502.1,32824.7,24106,89239.3,27854.6,-2.36148,0.473
86560.2,61400,92391,39195,29569,86870.8,19585,2.42226,0.476
84053,59241,92984.5,48921.6,36628,87532.1,28451,11.3793,0.482
75511.3,56130,88165.1,32638.3,25682,83287.3,19235.8,-7.62478,0.485
91048.8,61160,97563.3,31690.6,23585,88059.2,20727.5,9.76714,0.493
104175,67286,101465,91651.6,57302,104821,19145,3.51119,0.494
97730.7,67262,95222.8,56072.6,40602,90507.3,27749.8,9.83541,0.494
80679.3,55365,95500.8,29434.9,22073,87393.8,21407.9,0.1824,0.513
91339.8,62384,95954.9,56700.5,41432,89687.4,19195.1,-4.44211,0.523
103510,63327,107120,77810.5,50434,101110,27463.6,9.32423,0.527
98486.9,69659,92657.6,50394.2,37270,88613.8,22005.7,16.5731,0.534
94370.7,69105,89496.9,46225.1,34181,88628.5,21579.5,-0.888885,0.544
79513.5,55720,93521.1,36178.7,27137,87371.9,28012.2,-0.781842,0.556
76909.7,58399,86308.9,32853.6,26418,81501,23005.2,5.90737,0.564
92872,69081,88106.1,52250.6,39828,85977.1,26714.9,4.07345,0.565
106132,73550,94568.3,57564.8,40494,93163.6,22557.5,2.75681,0.566
76551,55124,91010.2,44690.9,34572,84717.7,21717.5,0.162039,0.573
162888,100077,106668,86863.9,56320,101078,21725.3,1.22153,0.575
73609.8,50885,94803.8,37492.3,28541,86089.9,24201.9,-4.24131,0.584
