"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
113555,57166,130181,96532.8,45543,138910,29550.3,13318,0.207
66167.1,45778,94725.2,28550.3,20774,90068.1,26541.9,6576.61,0.212
105099,71938,95745.8,101437,72926,91157.5,40270.8,18725.4,0.214
83307.4,55991,97509.1,55129.6,38991,92661.8,40068.3,9815.08,0.218
82118,56094,95940.5,38473.5,27226,92610,30339,16341.1,0.219
87993.6,64379,89575,40540.5,31382,84662,15710.5,7782.02,0.22
64326.4,44114,95563.7,43950.7,29810,96623.6,48418.5,14153.6,0.229
84521.9,53694,103163,119515,62583,125154,78684.5,27547.4,0.231
74548.4,53153,91915.9,50785.8,36777,90499.4,18890.2,7539.07,0.232
84832,52557,105781,73238.9,49872,96242,27879,8277.3,0.246
112231,69222,106255,82007.6,53766,99960.1,35810,11984.1,0.248
75945.3,50870,97840.6,53887.9,40710,86750.1,19228.1,7404.43,0.254
80619.3,51146,103302,69172.7,47927,94587.7,34687.2,6166.92,0.255
83308.2,60508,90230.8,43116.8,33157,85222,16819.1,11060,0.261
65470.2,46433,92405.3,46938.8,34581,88955.9,14854.3,7932.59,0.264
128385,71923,116984,86614.3,59371,95608.2,26972.6,8278.42,0.269
80420.2,56369,93498.5,45070.7,34357,85972.5,18384.6,8546.1,0.273
89664,59279,99128.2,50900.5,35051,95170.2,51754.1,12433.6,0.275
83920,55435,99211.3,39337,27558,93547.7,19164.3,6494.95,0.278
90775.2,58945,100925,65073.8,30393,140318,24257.5,13917.8,0.28
80883.8,53179,99678.4,97291,62827,101486,20862.9,7694.76,0.282
87216.8,57627,99186.9,37757.5,27151,91137.4,19642.6,7712.33,0.288
91086.8,64686,92283.7,45768.8,34263,87543.6,19786.4,11571.2,0.294
92899.4,63176,96369.7,45738.4,32645,91821.5,41112.3,19890.8,0.295
66981.8,50257,87345.5,38014.1,31433,79257.2,17842.7,8212.24,0.297
98833.4,67252,96311.6,51682,39116,86589.4,26196.1,6877.68,0.298
119422,81137,96459.4,98536.6,67485,95690.8,37932.3,24692.9,0.303
95610.3,61365,102109,148125,93293,104054,52311,20558.4,0.311
94880.7,65570,94831.5,51301.4,37754,89052.5,32747,15721.9,0.319
98423.8,73509,87748.5,45994.3,36145,83394.1,29003.2,13746.8,0.324
108008,69690,101570,57107.7,35031,106837,33593.7,15128.2,0.328
70767.4,50770,91349.5,33079,24602,88117.5,18594,10915.2,0.329
93810.6,67407,91206.7,44718.2,33263,88105.4,53231.3,10341.6,0.334
84815.2,60601,91722.1,52445.6,38404,89497.9,23146.2,7397.28,0.337
95908.2,70258,89462.2,88839.7,57450,101344,30543.9,18156.8,0.342
95317.7,61757,101150,66603.4,45920,95054.9,25005.7,8589.12,0.351
156697,89676,114515,105932,65409,106137,104902,53736.7,0.353
120871,72430,109366,116686,69294,110358,24203.7,8469.4,0.354
104627,61043,112328,65968.5,40999,105449,23536.7,6151.75,0.356
71885.4,45741,102995,40175.5,30192,87206.5,16121.4,6496.74,0.357
96625.6,66403,95364,57779.3,41219,91866,29546.7,6953.25,0.359
77604.4,54699,92979.4,36743.5,28415,84744.6,16918.2,6965.74,0.36
99576.7,65052,100318,56531.3,40353,91810.6,32086.2,8605.62,0.36
96365,66516,94945.2,53804.4,38652,91227.5,27518.3,9418.41,0.361
72570.1,46433,102426,67130.7,49661,88590.2,27242.5,11244.3,0.364
122814,76830,104760,93391.7,63411,96521.4,42907.7,14417.4,0.365
81211.3,50167,106091,84281.3,55475,99566.7,45949,11157.7,0.368
94901.2,59484,104557,52805.2,32629,106060,35821.2,15522.4,0.368
95218.9,65586,95146.3,51378.6,36414,92468.5,22012.3,9674.23,0.373
56757.6,39580,93978.4,51359.1,39669,84848.9,13070.7,7695.8,0.374
82914.5,60930,89182.4,38384.6,29826,84341.6,19890.5,11683.1,0.377
85728.8,64258,87433.8,41540.5,32394,84040.1,26359.9,14969.2,0.379
75423.2,49146,100576,54391.7,38183,93356.1,16735.2,6241.77,0.38
91517.7,62163,96483.5,61471.8,42151,95575.8,22181.6,8125.56,0.383
71351.1,52950,88310.9,33338.8,25030,87290.8,28996.2,15843.5,0.384
82655.3,45454,119173,99643.4,60542,107863,29649.2,8484.41,0.402
110283,76105,94967.4,56607.7,38964,95212.1,55411,25445.9,0.404
131182,79314,108394,64978.7,42374,100497,46291.2,10135.9,0.409
77590.7,55978,90839,56776.2,41651,89334.8,28312.8,13106.6,0.423
90813.2,65446,90938,44208.8,33642,86120.6,17961.6,11584.1,0.424
75652.7,56339,88002.5,32892.6,26231,82179.5,16111.7,8255.28,0.429
79426.1,53612,97091.5,41340,29121,93034.5,19169.1,6520.92,0.434
84266.5,56355,97994.7,51905.9,37919,89709.7,20042.6,8168.63,0.441
92710.1,65030,93431.5,54387.8,39654,89886.6,29510.5,9575.16,0.443
79939.1,54012,96994.9,47048,34737,88762.4,24843.3,7306.01,0.449
79654.8,52578,99286,39266.8,29074,88511.6,15994,7314.54,0.466
81149,52886,100559,59466.4,39402,98908.5,15052.7,6211.14,0.48
91834.6,66907,89952.8,39361.9,29263,88153.1,15531.7,8048.62,0.481
79310.6,56519,91963.7,37494.6,29687,82771.8,15931.6,6961.03,0.483
141985,80519,115565,105097,56343,122245,41438.3,7642.52,0.487
83381.9,60165,90825.5,43316.5,31501,90117.5,34641.5,10345.4,0.499
95416.5,61157,102249,74391.7,48813,99877.8,32146.9,14898.3,0.503
79581.1,52219,99876.1,47422.4,33686,92260.2,22298.2,8369.88,0.507
86598.2,50593,112176,91515.1,55441,108179,26832.2,7019.15,0.507
97970.1,63150,101672,52714,33770,102300,28581.8,6857.38,0.508
63598.3,46954,88767.3,35465.8,28035,82906.7,14077.8,8529.95,0.51
94447.5,65574,94392.8,48958.3,35974,89190.2,26617.6,11249.6,0.511
73587.8,53789,89658.6,32781.8,25321,84846.2,13669.5,8510.37,0.513
70648.1,53797,86064.1,34009.6,26317,84692.4,31400.3,8002.52,0.527
83143.2,61926,87990.1,47300.8,38026,81520.6,24733.1,14246.9,0.531
80189.1,57258,91782.4,44722.1,28778,101845,22272.6,7331.08,0.532
76434.7,56719,88316.5,35813.7,27378,85728.9,18225.8,6274,0.536
86136.9,51347,109940,61689.4,40303,100312,30905.7,7037.96,0.542
88240.6,56239,102828,63541.9,44162,94295.6,35891.4,12232.2,0.544
121530,75730,105171,167023,101922,107396,37509.9,20616.7,0.545
89249.8,62542,93522.4,48047.2,35966,87550,24393.2,10983.7,0.545
79220.9,55099,94227.1,41435.2,30815,88122.5,17604.2,7013.39,0.547
87180.4,59342,96280.1,49815.5,35591,91728.4,41104.9,12621.4,0.549
69037.6,46482,97337.7,40927.4,31310,85666.5,30783.3,9421.91,0.549
87049.6,54558,104566,88676.6,59582,97538.1,22296.9,7713.74,0.552
66412.6,47482,91664.6,31309.2,24446,83935.2,22484.6,6565.75,0.561
69162.3,46635,97193.5,35230.3,25103,91975.1,21901.5,6451.84,0.566
82878.8,62343,87123.5,44527.1,35707,81724.2,20096,6315.22,0.566
81209.8,57154,93119.7,41282.3,30258,89413.6,20800.4,9408.25,0.567
65135,48670,87706.8,35547.7,23603,98701.7,24348.3,10358.3,0.57
70317.5,46052,100068,47384.2,33688,92180.4,28893.5,9963.16,0.571
78080.9,57831,88483.8,41217.5,31523,85690.9,24880.5,6124.1,0.572
119274,84551,92450.3,72106.3,51823,91186.5,64614.7,8081.96,0.577
123477,84970,95236,71482.3,48707,96180.5,32905.5,13201.7,0.584
86323.8,57403,98554.4,45599.6,32438,92127,23785.7,6656.83,0.585
89830.5,60684,97012.9,45549.7,32849,90874.7,40369.6,18929.5,0.594
83674.5,57109,96021.5,39691.1,28921,89941.4,22839.8,10709.3,0.597
66151.2,50091,86548.1,30268.7,23846,83187.5,18971,9229.76,0.598
63032.9,43136,95765.1,34736.5,25964,87678.8,21515.2,7202.87,0.6
59916.1,44235,88768.2,51987.8,41878,81357.1,14296.3,7332.67,0.608
107931,73801,95843.4,63797.8,45972,90947.8,27979.7,16205.6,0.611
100598,66084,99764,59021.8,41280,93702.9,49445.7,20055.7,0.614
91583,50457,118952,61429.7,28244,142538,14026.1,7184.82,0.619
84328.1,61775,89462.2,43049.8,32530,86729.5,19214.7,9570.54,0.62
86022.9,57743,97632.5,48658.7,35583,89618.6,25954.6,11473.3,0.62
