"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-530_30 Blue E-A","Comp-582_15 YG D-A","Time"
92958.6,57500,105950,53542.3,36965,94926.3,7761.03,3835.63,0.188
74049.1,54977,88271.1,33300.5,26345,82838.6,2090.35,1227.34,0.232
72574.7,44019,108050,58397,40267,95043.3,1871.88,520.867,0.237
78277.7,59542,86157.8,28185.3,22282,82898.8,1735.46,1259.17,0.254
80844.2,51764,102353,46887.4,31760,96750.9,2469.78,954.897,0.273
107095,56847,123464,124918,48642,168303,1873.98,1175.42,0.279
76822.3,53823,93540.4,35822.3,27058,86763.6,3085.46,1556.94,0.289
64605.3,48338,87591,31784.2,25566,81475.8,1688.1,1056.71,0.362
103846,65516,103878,43181.6,27477,102993,11523.5,3556.6,0.371
62387.6,49076,83312.4,25641.7,21516,78102.6,1748.16,1217.82,0.381
73706.3,56671,85236.1,30957.4,24450,82978.5,2807.21,806.475,0.399
93422.2,62215,98409.1,54510.3,40591,88009.3,1333.62,781.132,0.42
70791,53993,85925.1,25021.6,20868,78580.5,845.855,566.514,0.431
82275.3,59869,90063.2,40038.2,30848,85060.4,1773.79,1254.39,0.445
109543,63947,112265,80464,56438,93435.1,5049.17,3827.33,0.453
67567.8,50019,88528.8,30735.1,24167,83347.4,915.374,626.93,0.488
77572.4,53999,94146,45741.5,33359,89862.3,9425.73,5408.03,0.503
68268.5,42960,104144,55120.3,40188,89886.6,1031.7,590.352,0.561
79456.5,56051,92902.2,53567.3,41887,83810.9,2521.07,1510.86,0.586
66693.8,49431,88423.1,30533.1,24727,80924.4,5875.09,2058.13,0.592
72966.8,44206,108174,44504.5,30366,96049.7,7006.67,1937.22,0.618
75180,50925,96750,38534.3,28752,87833.4,2941.22,1876.54,0.619
72039.6,53526,88203.7,34259.9,26862,83585,1868.34,1312.16,0.692
90731.1,58937,100890,58347.1,39517,96764.4,2127.21,1315.85,0.699
74211.7,54494,89249.1,34142.9,26035,85945.5,2625.2,2139.44,0.726
83599.2,58723,93298.4,34181.9,26279,85244.8,12113.9,4428.94,0.737
95112.5,65478,95196.7,33371.5,23794,91915.4,4473.13,3650.35,0.747
82922.1,57605,94338.7,38688.8,28937,87621.7,1966.33,1356.14,0.761
118428,79199,97997.2,63587.2,46511,89597,1652.36,1147.34,0.815
95507.7,63479,98602.6,52632.8,37199,92726.8,2428.92,1870.21,0.843
88299.8,56040,103262,53496.3,37189,94273.4,8713.42,3706.25,0.849
70414.8,51810,89069.7,32458.9,26258,81012.6,16591.7,5209.87,0.856
69901,51774,88481.3,32200.7,24682,85499.9,2645.73,2097.04,0.882
75740.1,55986,88659.7,32827.9,25430,84601.1,3464.88,2348.73,0.884
58985.1,42818,90280.9,57872.9,44906,84459.9,4074.54,2715.98,0.885
69714,51773,88246.4,25368.7,20173,82415.3,808.092,418.647,0.892
66202.1,48541,89380.5,25443.6,20576,81039.6,1559.17,1001.6,0.951
103495,67667,100236,53416.7,38807,90208.4,1819.08,994.69,0.964
73216.9,52282,91778.1,32141.5,24190,87078.2,8203.73,3430.68,1.016
84790.9,60870,91290.6,56879.9,41746,89294.4,6172.84,3936.96,1.018
64543.8,46135,91686.1,33104,25255,85903.9,1787.61,1134.61,1.022
69758.1,48471,94317.6,37344.1,28931,84593.7,2724.35,2006.93,1.036
69115.9,52590,86130.1,26226.7,21242,80914.9,3597.9,2782.79,1.077
63238.8,46195,89715.8,33270.9,26195,83238.9,1785.62,1249.09,1.111
107485,74863,94094,51266.3,37247,90202.9,2514.93,1700.07,1.174
110630,70904,102255,42817.3,29061,96558.1,1075.58,614.199,1.182
90136.8,67236,87857.7,60347.8,46828,84457,717.05,409.643,1.182
95049.4,68230,91296.5,31326.4,22930,89533.6,1205.49,725.491,1.239
87803.6,62846,91561.8,47179.9,35338,87497.3,2255.25,1600.98,1.251
92508.7,59413,102043,52462.8,36841,93325.4,8073.21,4601.99,1.256
76342.8,50523,99028.1,39621.7,27663,93867.1,1733.91,1129.85,1.262
69133.4,51283,88347.5,27897.5,21971,83213.8,1580.66,725.996,1.27
66421.7,44998,96737.9,43225.3,31226,90719.6,571.374,337.572,1.3
80202,51466,102128,55372.2,39050,92928.9,6577.4,3431.85,1.312
53346.7,42644,81984.1,34917.5,29496,77581.8,2804.53,981.906,1.362
89502.2,58346,100532,40492.9,27539,96363.1,2934.28,1131.89,1.362
91655.2,62987,95364.4,43239.3,31974,88626.1,1154.08,786.974,1.367
93736.9,64806,94792.8,49759.3,36634,89016.4,1210.21,852.69,1.398
97748.2,66258,96683,47667.4,34958,89362.3,2018.12,1375.75,1.433
54804.4,41786,85953.6,30384.9,24099,82630.2,1181.23,761.002,1.485
80178.5,58795,89371.2,28603.4,21807,85961,971.536,594.596,1.499
120370,77069,102357,50577.5,32873,100832,6489.29,4333.38,1.565
75157.2,54458,90445.8,39970.3,30199,86741.1,1920.75,1144.67,1.586
106294,76010,91647.2,65488,46270,92756.1,8765.44,3006.64,1.615
70195.9,52917,86935.3,29849,24077,81247.1,4655.26,3247.53,1.615
86025.9,53715,104958,70111.1,48503,94732.3,1162.81,458.374,1.667
67272.9,50282,87681.4,28601,22967,81612.6,436.436,305.251,1.678
66633,50441,86573.6,32238.2,25396,83192.7,1214.75,632.74,1.68
79579.6,55621,93765.5,37509.4,28665,85756.8,3464.92,2153.69,1.681
84173,59489,92729.1,34642.9,25177,90175.9,4628.29,3104.97,1.697
78408.4,52548,97788.2,41669.2,29838,91521.9,3822.33,1243.66,1.76
111966,64317,114088,66018.4,36800,117570,3842.43,2121.87,1.767
84702.8,53077,104585,44480.3,30129,96752.6,6587.17,1770.3,1.779
64673,50102,84595.6,23446,19186,80087.5,442.793,268.151,1.792
71870.2,54067,87115.7,32554.1,25943,82236.6,2468.06,1767.39,1.792
83262.6,55318,98642.3,39638,28946,89743.6,3577.17,1705.3,1.801
72639.3,52642,90431.4,34770.1,25214,90374,4325.44,2661.91,1.802
90218.1,60964,96984,39339.3,27324,94354.4,2146.35,1072.58,1.809
58643.1,46184,83215.7,46988,38897,79168.2,6438.24,4605.81,1.871
77563.3,53479,95050.2,45187,34627,85522.1,5953.69,3677.81,1.902
86748.7,59111,96177.7,48828,32867,97361.9,4982.24,2112.25,1.997
91484.2,59954,100002,55982.9,39926,91892.4,1733.54,919.436,2.002
89010.4,64238,90809,50579.1,37299,88869.7,5668.84,4586.78,2.011
86545,58599,96790.3,67062.8,53715,81821.3,5347.5,3070.47,2.02
119404,81347,96195.7,80728.4,56727,93264.6,6121.34,3454.14,2.024
