fold_nb,order,train,test
0,0,-1.2188028364334969e-12,-0.00011782382325020713
0,1,0.7521174589574602,0.7499784363701998
0,2,0.9040064968659569,0.9022564671613833
0,3,0.9549999153508627,0.9520287986158616
0,4,0.9732448120233843,0.9701805419452936
0,5,0.9777551209488053,0.9718537000300609
0,6,0.9788068245665278,0.9714192648995391
0,7,0.9806083020384546,0.9729908578023486
1,0,-1.220135104063047e-12,-0.00018336812800789914
1,1,0.7514424037475412,0.7560230417940117
1,2,0.903722355414226,0.9048414224452404
1,3,0.9508509004903223,0.9511368548436595
1,4,0.9720942129893569,0.9707159269180327
1,5,0.9775588556423407,0.9733090609309525
1,6,0.9786413936969578,0.9728510613819908
1,7,0.9800151847995129,0.9743641506686345
2,0,-1.2212453270876722e-12,-1.8744104218093582e-05
2,1,0.7515559028129177,0.7549712101567219
2,2,0.9035275871345878,0.9065809337540778
2,3,0.9545867758145556,0.9558823311999135
2,4,0.9719468021219411,0.9717199650514939
2,5,0.9781641704313075,0.9739102070125727
2,6,0.9795251250223195,0.9735602036635786
2,7,0.9804494399418932,0.9745621358080188
3,0,-1.220579193272897e-12,-2.6051103156898847e-06
3,1,0.7515243936600211,0.7552972038362304
3,2,0.9037962651791727,0.9041659068471603
3,3,0.9509062660454395,0.9502173119277053
3,4,0.9722148484455377,0.9697245961978559
3,5,0.9777528607375143,0.9727000110768795
3,6,0.9785977317822891,0.9723157340378878
3,7,0.9800552851893938,0.9741542896553435
4,0,-1.2181367026187218e-12,-9.121225803188082e-05
4,1,0.7528024112938139,0.7436535509239541
4,2,0.9041482869154268,0.9009107757274603
4,3,0.9512182786113493,0.9474177534863522
4,4,0.9733913401095734,0.9687435114361129
4,5,0.9778183282535493,0.9704161252651211
4,6,0.9787949939362374,0.9697682956039806
4,7,0.9804335193744067,0.970296185278726
5,0,-1.2208012378778221e-12,-2.800954578541237e-05
5,1,0.7524841012140269,0.74674043558047
5,2,0.9038160630307605,0.904084856702514
5,3,0.950866873448054,0.9507867528840727
5,4,0.9720321131284188,0.9704633808226109
5,5,0.9776144229189391,0.9738936118872424
5,6,0.9786654099067815,0.97290786255096
5,7,0.9805510426752124,0.9749857756484926
6,0,-1.220135104063047e-12,-2.05102283978853e-05
6,1,0.752929964706656,0.7426555292940638
6,2,0.9040696370737735,0.9017840887714632
6,3,0.955065709306321,0.9520163610838327
6,4,0.9733880755385561,0.9699610633068544
6,5,0.977889909402287,0.9713855702681057
6,6,0.9789024250138041,0.9703294923994716
6,7,0.9808076068181095,0.9725269978289368
7,0,-1.2190248810384219e-12,-2.6035226130538547e-07
7,1,0.7524666863024994,0.7468109426204398
7,2,0.9037381456740022,0.9047504774649724
7,3,0.950827097714319,0.9509848160329946
7,4,0.9720573166866102,0.9713785310725449
7,5,0.9779558039924704,0.9734372555659373
7,6,0.9787994133628888,0.9734331888740305
7,7,0.9804989314660916,0.9754743339881505
