fold_nb,order,train,test
0,0,-1.1102230246251565e-15,-7.500039385321955e-06
0,1,0.6360736368218394,0.6343116480657212
0,2,0.878199255774524,0.8795695515869378
0,3,0.9300032041778793,0.9298167468604932
0,4,0.9493349922871706,0.9442248935253771
0,5,0.9577621059989757,0.9476492984617063
0,6,0.9639182943362683,0.9477285780371031
0,7,0.9658289506998883,0.9454763475575417
1,0,-8.881784197001252e-16,-7.57705924017138e-05
1,1,0.6367604814407906,0.6277601160656905
1,2,0.8784838126225766,0.876925558128136
1,3,0.9299727311439803,0.9296002923783462
1,4,0.9493664004696997,0.944249753908614
1,5,0.9607162190577874,0.9489421455107971
1,6,0.9642318231055296,0.9482182377752896
1,7,0.9660232168841547,0.9466245442153629
2,0,-6.661338147750939e-16,-0.0005440449569453776
2,1,0.6371911618162664,0.6237111697523803
2,2,0.8787802129454664,0.8740699922358242
2,3,0.9329808365399734,0.9281971633576147
2,4,0.9495811933975595,0.9415624318974132
2,5,0.9610310175335993,0.9443624794772075
2,6,0.9640062136605991,0.9431522138137606
2,7,0.9662199384734531,0.9440573024055712
3,0,-8.881784197001252e-16,-0.00028321717028090276
3,1,0.6368033313144248,0.6275615982195664
3,2,0.8789756542537268,0.8723909874842879
3,3,0.9309298316882241,0.9208790428916567
3,4,0.9499127180121372,0.9370532800263353
3,5,0.9604122532808042,0.9402647892823073
3,6,0.9644441347464614,0.9393936330794947
3,7,0.966173202457348,0.937128511121097
4,0,-8.881784197001252e-16,-0.0009179920060713442
4,1,0.6360355537782909,0.6341188051153488
4,2,0.8787709425422355,0.8739484728048089
4,3,0.9306267212218197,0.9241824118255325
4,4,0.9499687929198612,0.9367666986919174
4,5,0.9615551281681407,0.9406882500433376
4,6,0.9642605583372923,0.9392700312568636
4,7,0.9664759452559174,0.9386938994613877
5,0,-1.1102230246251565e-15,-0.00028362564977602034
5,1,0.6369825664707378,0.6258633041445008
5,2,0.8789589952317395,0.8723856636732795
5,3,0.9334371279315314,0.9235620164161898
5,4,0.9500134417831999,0.935878870194048
5,5,0.9610633418557358,0.9432992061618238
5,6,0.9640822339644441,0.9414612681563654
5,7,0.9663869447206621,0.940138484643714
6,0,-8.881784197001252e-16,-0.0002394455636747228
6,1,0.6362968758832543,0.6322078701407569
6,2,0.8788823076789225,0.8734088671342495
6,3,0.9303981815684936,0.9266597018015742
6,4,0.9497344274615096,0.9427348595565753
6,5,0.9611845249372981,0.9474992389674866
6,6,0.9641642818891228,0.9462685509661608
6,7,0.9658291062893019,0.945464299219354
7,0,-6.661338147750939e-16,-0.00207462994297547
7,1,0.6374918701683115,0.6199993247237394
7,2,0.8793553588539259,0.8683777359015805
7,3,0.9308072927141943,0.9225466002189678
7,4,0.9502533509612957,0.936438479854438
7,5,0.9613954367712926,0.9411182428105548
7,6,0.9643024602155494,0.9382825540952231
7,7,0.9665548542488076,0.9374501727365024
