MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,1.573197574461021e-07,5.190005026347104e-08,2.476436678597642e-07,5.338774662721423e-07,3.461202978016563e-07,2.1357694315684716e-08,2.937811461129038e-07,4.333380272300305e-08,1.2061776538543747e-07,1.2812391177739462e-07
SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,4.745742532382641e-20,2.082060671233323e-20,5.1968230981680056e-20,2.576994636329172e-20,5.162756041398035e-20,1.3240491565342048e-20,2.352634888634797e-20,2.1822540618623595e-20,2.746381237102335e-20,2.990413874585718e-20
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,9.048253858384084e-09,4.477638166710464e-09,1.992182291943941e-08,2.909039926639834e-08,1.6459547086510434e-08,1.1409989294398882e-09,8.846006944782093e-09,2.52052753354814e-09,6.0333505065409086e-09,1.6843418037991765e-08
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,3.034957975104724e-17,1.2674542122575788e-17,3.145321826225862e-17,2.964955862956619e-18,4.371696271688688e-17,4.177996836205039e-18,1.6146560114803182e-18,2.451559057512432e-18,5.04036534600137e-18,6.250608222232066e-18
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,6.267618058475791e-10,3.52544694096597e-10,2.2489529015759063e-09,3.991233199073766e-09,1.1166745536235824e-09,8.57279640105912e-11,1.1093620010831287e-09,3.4454031321514647e-10,6.389633847501871e-10,7.704365827911432e-10
SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,1.6788407446909785e-17,8.05607260255212e-18,2.2364541872243255e-17,5.585405810315762e-18,1.167133497902221e-17,6.0900648507033195e-18,2.4242856762013346e-18,7.489567827977379e-18,3.529535672217448e-18,1.053039077240057e-17
MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,3.5762741788498935e-07,1.5183434093459082e-07,1.2451203618457787e-06,2.0357851484465426e-06,6.842287151390995e-07,1.1701319694615301e-07,1.60662993103404e-06,1.8657581901842773e-07,6.109271589111567e-07,1.9004009775155582e-07
SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,2.999159520809923e-19,2.286954757290898e-19,1.7243363787536984e-18,1.243572893695846e-20,3.5449243750953336e-19,1.319584559674066e-18,5.5582023969616655e-21,2.156850995732329e-20,6.71539490651668e-20,1.0115641315461988e-19
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,1.0416380048263707e-12,1.68564453549754e-13,7.579198959121147e-13,1.5100113610209192e-12,9.840243731582137e-13,1.0633752654021423e-13,5.133713932432815e-13,1.2142018244542828e-13,5.370298194687834e-13,6.762643718246896e-13
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,2.982618998006868e-13,1.4059794807474463e-13,1.0900799627478051e-13,1.247911329635967e-13,2.857354079103156e-13,7.942036162859987e-14,1.085891348970281e-13,1.7324244700737097e-14,2.192880608250248e-13,8.867620438303084e-14
