shortname,antigen,KD_titeseq,KD_titeseq_err,isogenic_rep1,isogenic_rep2,KD,KD_err
germline,MA90,8.55177344,0.060947728,7.71,7.75,7.73,0.02
somatic,MA90,10.10262723,0.023271469,10.01,10.11,10.06,0.05
germline,SI06,6,0,6,6,6,0
somatic,SI06,9.345456422,0.067192977,9.21,9.42,9.315,0.105
germline,G189E,6,0,6,6,6,0
somatic,G189E,9.748962402,0.146449154,9.65,9.52,9.585,0.065
"""0010000000100000""",SI06,7.451844642,0.084604884,6.55,6.53,6.54,0.01
"""0000001111100000""",SI06,7.906836597,0.104763178,7.61,7.49,7.55,0.06
"""0110010010111110""",SI06,7.718017741,0.009362593,7.14,7.1,7.12,0.02
i2,MA90,9.026952181,0.030390077,8.95,8.9,8.925,0.025
