Optimal order: 6
Type,Order,Mean,Std
Train,0,-9.005142310848492e-16,2.9552443795189426e-15
Train,1,0.7369638564137999,0.00026815974347962966
Train,2,0.9158551842452316,0.0002255901117713337
Train,3,0.9525921861182682,0.0001675634477649889
Train,4,0.9705241305686211,0.00013386805877687677
Train,5,0.9821097625253,0.00012513449020964008
Train,6,nan,nan
Train,7,-49.154040963213305,0.07102553282412793
Test,0,-0.00010302452065231233,0.00014428295764280726
Test,1,0.7385012452931576,0.0024249438241806366
Test,2,0.9153352381542798,0.002032187013324464
Test,3,0.9515629617426382,0.0015085691383909536
Test,4,0.9678546367937053,0.001252277138355567
Test,5,0.9769646759571243,0.0012531378225138813
Test,6,nan,nan
Test,7,-49.22125482020092,0.6476367415305051
