fold_nb,order,train,test
0,0,-1.48991929904696e-12,-1.3451571034828191e-07
0,1,0.7373429246897871,0.7351223823529205
0,2,0.9160041757963164,0.9138653956617216
0,3,0.9499495546338623,0.9489540907585229
0,4,0.968601891861069,0.966214952398825
0,5,0.9752354037129729,0.9701490929373942
0,6,0.976121961065404,0.969346196719467
0,7,0.9764205880794703,0.9699043888385235
1,0,-1.4903633882568101e-12,-5.661445339355531e-05
1,1,0.7371821637229315,0.7365607875736753
1,2,0.9158148921488084,0.9155382786206987
1,3,0.9500852882808899,0.948583574636924
1,4,0.9684690623816467,0.9650841196534629
1,5,0.9755170354619863,0.9695491112540093
1,6,0.9760072043287807,0.9691290024425444
1,7,0.9762294074402023,0.9689191607815281
2,0,-1.4865886299730846e-12,-3.090723769139103e-06
2,1,0.7367421210075493,0.7405945790653101
2,2,0.9159564664443947,0.9142443456276956
2,3,0.952051802044337,0.9511803619598374
2,4,0.968770410887237,0.9647114332334362
2,5,0.9754405338842782,0.9694941291715368
2,6,0.9759539011662955,0.9691709181734497
2,7,0.9765735730979805,0.9688325325601206
3,0,-1.4881429422075598e-12,-6.850723470663844e-05
3,1,0.737302020025838,0.7354417173378622
3,2,0.9158781873590974,0.9149563360555752
3,3,0.9500167116079827,0.9487734575222494
3,4,0.9685363093390912,0.9652605745102644
3,5,0.9753220802536814,0.9697730261191044
3,6,0.9761095690419693,0.9695389970682989
3,7,0.9767036598178968,0.9693525006720296
4,0,-1.4921397450962104e-12,-0.00016211245228525684
4,1,0.7374261167450471,0.7343929461650338
4,2,0.9159428019546947,0.9145009632828643
4,3,0.9522919235186504,0.9486755697916216
4,4,0.9671319465555825,0.9621330750856241
4,5,0.9754662575622552,0.9675131495544737
4,6,0.9762045860485148,0.9670868331927711
4,7,0.9763358873249576,0.9675030878100715
5,0,-1.4872547637878597e-12,-0.00012146557568115668
5,1,0.7368523007780943,0.7395761978405516
5,2,0.9155572000216776,0.9177677328249596
5,3,0.9498108351611354,0.9506160796288191
5,4,0.9685224191170915,0.9672168242695918
5,5,0.9755531966815547,0.9716642707123302
5,6,0.9768840833201942,0.9718901310729171
5,7,0.9765701405706482,0.9714516627326243
6,0,-1.4936940573306856e-12,-0.00017098005144533523
6,1,0.7370904177136647,0.7373475555790372
6,2,0.9158221861232456,0.9154916041034752
6,3,0.9500759715092493,0.9484917399498703
6,4,0.9683855223746244,0.9660261617688372
6,5,0.9754082752820841,0.9702219995838246
6,6,0.9770429165328279,0.970259002229718
6,7,0.9766410917947226,0.9699663195215922
7,0,-1.4912515666765103e-12,-2.486555812808433e-06
7,1,0.7365996386672178,0.7417323180769622
7,2,0.9154788729362816,0.9185241476364294
7,3,0.9518464459844914,0.9526388379620008
7,4,0.9685230202037866,0.9672149116532958
7,5,0.9750767789491305,0.9707231559258062
7,6,0.9759989622984838,0.9708156296326956
7,7,0.976281021610552,0.9712586554882986
