fold_nb,order,train,test
0,0,-1.4870327191829347e-12,-7.709800199195982e-05
0,1,0.7372805095420674,0.7356885881849791
0,2,0.9160211133475356,0.9137559622298513
0,3,0.9526566717008897,0.9509459713614671
0,4,0.9705089373127546,0.967982177001839
0,5,0.9821276400124659,0.9767870987550615
0,6,0.9882988843446937,0.9776683660921955
0,7,0.9928044338737592,0.973444957672922
1,0,-1.4912515666765103e-12,-5.825859261676669e-08
1,1,0.736762237638211,0.7402471707825727
1,2,0.915707967617848,0.916622258614664
1,3,0.9521906915768633,0.9552282291646883
1,4,0.9701365838844178,0.9714651433342605
1,5,0.9818785112267614,0.9792529484816738
1,6,0.9880905408318437,0.9802718071448484
1,7,0.9926680041947918,0.9761865644553411
2,0,-1.4883649868124849e-12,-0.00010461544632822672
2,1,0.7376128249086974,0.7327032958530235
2,2,0.9157865573142264,0.9159696947720356
2,3,0.9525547250138465,0.9519603888167217
2,4,0.9704299203993285,0.9686961059928056
2,5,0.9820887605030527,0.9771952323476728
2,6,0.9882914353452505,0.9777733528111974
2,7,0.9928186598877146,0.9733373555140905
3,0,-1.4930279235159105e-12,-0.00032579445304126153
3,1,0.7375613978425744,0.7331817827204237
3,2,0.9158668985831567,0.9152207436982626
3,3,0.9526514170667729,0.9510790352329251
3,4,0.9706692952061827,0.9665796551885344
3,5,0.9822704563910084,0.9755372923477242
3,6,0.9883938559631779,0.976839321941401
3,7,0.9928940909723841,0.972704402342761
4,0,-1.4852563623435344e-12,-0.0008828790075672277
4,1,0.7377870124162094,0.7307680999994712
4,2,0.9158849708220442,0.9149656898098598
4,3,0.9526115054759632,0.9512927454095641
4,4,0.9705731619216069,0.9673056279813348
4,5,0.9821010711733238,0.9770516578966971
4,6,0.9882260009070067,0.9784957952408163
4,7,0.9927885214146714,0.9734833543404591
5,0,-1.4845902285287593e-12,-0.0002208406691763809
5,1,0.7377160927100286,0.7315599501461851
5,2,0.9161114101299465,0.9129626508188835
5,3,0.9527190427726245,0.9503948609358664
5,4,0.9705546070259653,0.9675051519495977
5,5,0.982094100569282,0.9770587497127726
5,6,0.9882294413375413,0.9783925454423914
5,7,0.9927107289887536,0.9746906505698896
6,0,-1.4876988529977098e-12,-1.026017298833004e-05
6,1,0.7366543654094377,0.7413665279553711
6,2,0.9157311114957819,0.9164735146792661
6,3,0.9524193300827678,0.9531436371060806
6,4,0.9704155364681337,0.9687251222803742
6,5,0.9820218776792915,0.9776534874646777
6,6,0.9882130166281505,0.9784284404612443
6,7,0.992775281460496,0.9737268041754191
7,0,-1.4872547637878597e-12,-0.0003021919894499181
7,1,0.7373580876315148,0.7348753355459086
7,2,0.915635745862238,0.9172646653193872
7,3,0.952514353446739,0.9522571141173164
7,4,0.9704251787012413,0.9687706743379264
7,5,0.9820475739330585,0.9776098313537763
7,6,0.9882291736472111,0.978493656911074
7,7,0.9928088244407001,0.9735043974132482
