Optimal order: 5
Type,Order,Mean,Std
Train,0,1.3322676295501878e-16,2.0947646133377084e-16
Train,1,0.7550451946164664,0.00044882896225764137
Train,2,0.9564852536806218,6.863716694364543e-05
Train,3,0.9800364895274791,7.78777399018141e-05
Train,4,0.9868797875119775,7.091364453959794e-05
Train,5,0.990083054441444,5.8319708162247255e-05
Train,6,0.9927644746226821,5.074952319702564e-05
Test,0,-0.0003507922084900805,0.0004422812628524936
Test,1,0.7547699158530168,0.0039738834147563604
Test,2,0.9562761446852258,0.000609788120044302
Test,3,0.9795490175253881,0.0007000236600292632
Test,4,0.9856983075287344,0.0006561581676176208
Test,5,0.9873281115412516,0.0005752594650661299
Test,6,0.9871116823289625,0.000569863746361058
