Optimal order: 5
Type,Order,Mean,Std
Train,0,-3.3306690738754695e-17,2.6296119242823517e-16
Train,1,0.7533879714128611,0.00045372708457792877
Train,2,0.9563478375304447,6.677880627644989e-05
Train,3,0.9799922416748494,7.698008123815971e-05
Train,4,0.9868768509545776,6.983532363304877e-05
Train,5,0.9900910399518578,5.741108655997487e-05
Train,6,0.9927661853004601,5.0018469484731644e-05
Test,0,-0.0003516220286643668,0.0004439112557800245
Test,1,0.7531106226254793,0.004016882050220392
Test,2,0.9561383236239159,0.0005933344803081478
Test,3,0.9795031343720094,0.0006919556654053824
Test,4,0.9856950189096276,0.0006463482075521174
Test,5,0.987338819915674,0.0005651549077229712
Test,6,0.9871150162704238,0.0005614231716330878
