sample_name	sample_id	construct	replicate	concentration	bin	mean_log10_PEs	std_log10_PEs	mean_log10_FITCs	std_log10_FITCs
CH65_e_F_4	44	CH65	e	F	4	2.07900664658922	0.11900674719073828	4.133074095656532	0.1483074802836474
CH65_g_1_1	46	CH65	g	1	1	2.3492886812032157	0.13292085083781247	3.5098298636105003	0.5534552428152754
CH65_g_1_2	47	CH65	g	1	2	3.2410907269452736	0.3252826543431288	3.325016087272264	0.5596402598130508
CH65_g_1_3	48	CH65	g	1	3	3.916313850040611	0.1259088914265514	3.5719209932496168	0.33402881120731004
CH65_g_1_4	49	CH65	g	1	4	4.373562564492542	0.19052542136259565	3.9891299767945974	0.24666852157548738
CH65_g_2_1	50	CH65	g	2	1	2.2973999922173203	0.13357747754845223	3.511944743003518	0.5752977060967439
CH65_g_2_2	51	CH65	g	2	2	3.196494098142643	0.30618730235900943	3.342130780125611	0.5600263931155695
CH65_g_2_3	52	CH65	g	2	3	3.8579925531412482	0.12532937150858706	3.548626236638581	0.3608997003174452
CH65_g_2_4	53	CH65	g	2	4	4.318429244323116	0.18826370289510663	3.977770008459899	0.2472071082978886
CH65_g_3_1	54	CH65	g	3	1	2.2072861351121946	0.19147708116349615	3.5325269332108413	0.5713001764491283
CH65_g_3_2	55	CH65	g	3	2	3.212588671768223	0.3192525143039873	3.3015812423103124	0.5512556629568628
CH65_g_3_3	56	CH65	g	3	3	3.929459324118026	0.14528148151690295	3.5887604208753703	0.31767502073638193
CH65_g_3_4	57	CH65	g	3	4	4.677513310324509	0.3934318480090533	4.005715605755732	0.26780945719564403
CH65_g_4_1	58	CH65	g	4	1	2.2696394749147495	0.12978014057358858	3.5508070499482622	0.5623656688237312
CH65_g_4_2	59	CH65	g	4	2	3.100843012580433	0.2740922212278586	3.384514190409492	0.551250366298291
CH65_g_4_3	60	CH65	g	4	3	3.7630315549663655	0.13859833791786527	3.5507125621692674	0.37887562894839255
CH65_g_4_4	61	CH65	g	4	4	4.241241701732877	0.17707680876795057	3.9641299264711054	0.25509857306432404
CH65_g_5_1	62	CH65	g	5	1	2.257467334167745	0.13891273714411945	3.5592220083713473	0.5551577245208155
CH65_g_5_2	63	CH65	g	5	2	3.0016101409720553	0.2362123625805011	3.4490618758338902	0.5378313849489355
CH65_g_5_3	64	CH65	g	5	3	3.6287497513114926	0.13675471440439582	3.5550301477915633	0.4108985801702527
CH65_g_5_4	65	CH65	g	5	4	4.141600797297517	0.19784127516654187	3.9305270761813453	0.276225145485729
CH65_g_6_1	66	CH65	g	6	1	2.256284484954586	0.1396631715790099	3.547487119030431	0.5545747290626358
CH65_g_6_2	67	CH65	g	6	2	2.885274411845208	0.1826787536878498	3.445609977597443	0.5477476827348653
CH65_g_6_3	68	CH65	g	6	3	3.4546686199460006	0.14725322774186678	3.5792515433381027	0.4241190681973567
