shortname,Exp_titeseq,Exp_err_titeseq,Exp_isogenic_rep1,Exp_isogenic_rep2,Exp_isogenic,Exp_sem_isogenic
germline,1.007017268,0.039073816,15184,11821.3,13502.65,1681.35
somatic,0.955968979,0.058458027,11165.3,8312.5,9738.9,1426.4
"""0010000000100000""",0.97250045,0.017136873,10516.8,7891.1,9203.95,1312.85
"""0000001111100000""",1.017838183,0.030959682,13866,11373.7,12619.85,1246.15
"""0110010010111110""",0.998169035,0.007851128,10673.6,8820,9746.8,926.8
i2,1.055116256,0.008839864,22551.7,20540,21545.85,1005.85
