MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,6.053981697078998e-10,1.0320637112386379e-09,4.436694239287489e-09,3.226951009778665e-09,7.557143431224977e-10,1.5658239184964342e-09,7.508879509501562e-09,8.288186599543164e-10,9.931869717219434e-09,4.2572257722590205e-09
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,1.2528518611592602e-11,7.585789144951783e-12,2.05329881886583e-11,6.040580326652678e-12,4.004429129834269e-12,6.886284596400371e-12,1.4190271034693182e-11,1.8731989838619574e-11,7.103408134783948e-12,2.6450863984317632e-11
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,2.5262848564164594e-09,9.050615745808017e-10,1.3450414591040617e-09,1.3703476350222229e-09,9.670297381599862e-10,1.6054646469336485e-09,1.552982308695995e-09,1.548033426301857e-09,1.908321591886666e-09,3.567853717392104e-09
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,1.081437837640275e-09,5.987523553425417e-10,8.117477161064675e-10,5.16810421209524e-10,3.4962381142816465e-10,7.135275418513272e-10,6.689341271279599e-10,9.365778688697767e-10,6.97335275319055e-10,1.60841568765962e-09
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,3.818319402567692e-12,6.744462447215231e-12,1.1969196093145024e-10,1.6725806245504268e-11,3.10164159160064e-12,1.1514763656083617e-11,5.887377729842058e-11,9.344668302490475e-12,5.335548957759384e-11,6.533007410821625e-11
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,2.1754516453897307e-10,1.4020570659799121e-10,3.214107803175616e-10,7.94776999361096e-11,8.622714788094665e-11,2.2806665521437451e-10,3.8056085072632164e-10,2.808520088701122e-10,1.9587300961466234e-10,9.507317359393352e-10
SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,3.065874504628254e-14,9.634790690858304e-15,3.2435827546715e-14,3.719803759793857e-14,1.646529487794379e-14,3.9534105993333017e-14,3.355244793286757e-14,5.0491707548539716e-14,2.241121982718478e-14,3.350912582467853e-13
mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,mixed,1.627368292303544e-08,1.2424615075625047e-07,1.3970119757495125e-08,8.126118979461994e-08,4.759518025729887e-08,2.090329619900369e-08,1.6439127679841647e-08,1.0645395699764776e-07,6.636551164191563e-08,3.1802797946721064e-08
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,5.135659552531453e-08,1.0125826007785631e-07,4.58905644956565e-07,3.209797770273604e-07,6.937881380553463e-08,1.626902203532987e-07,5.395555827198918e-07,6.863561201540437e-08,7.324342660390072e-07,4.215126508405915e-07
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,1.5653409068796556e-07,2.779231110487361e-07,1.3780099091924222e-06,9.526665236380389e-07,2.409227909551005e-07,4.6345349160478083e-07,1.4916864741074325e-06,2.7048333444227285e-07,1.8354798282159052e-06,1.0311740131851932e-06
MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,5.487614681925923e-06,1.2771219821306235e-05,1.0376903203844918e-05,1.6237524692076856e-05,9.582433408424325e-06,1.8730296898259184e-05,1.4381581188775986e-05,5.0178558408102655e-06,1.5524392832752658e-05,9.717161201998385e-06
SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,1.0912871131280096e-14,8.602761451490667e-15,2.6187320118651174e-14,6.926498667236307e-15,7.446410730277821e-15,7.268771026673156e-15,8.492810250190241e-15,1.6807496718448086e-14,9.229242712768281e-15,1.3378050004275369e-14
MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,3.8812053448668823e-07,2.3546641961265973e-07,1.2238043772086608e-07,1.042424921130492e-06,4.946853583790344e-07,6.145962900727417e-07,4.2776522096140293e-07,1.307570646682922e-07,5.127553145424411e-07,1.2696978824694956e-06
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,2.958836558985495e-13,1.223424437222468e-13,2.442875388602057e-13,1.5875621980338095e-13,1.2845654888600563e-13,1.5476952806582971e-13,1.7748878436068508e-13,3.2586143793181676e-13,1.4852242454789778e-13,1.1062780854990775e-12
SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,4.60479324638951e-12,2.4797810067787786e-12,7.63886405019607e-12,2.3185010532280013e-12,1.5944674902671065e-12,2.428863232950258e-12,3.8641675541628336e-12,3.2042087484908577e-12,1.961944979494862e-12,4.168464846352595e-12
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,4.121644223398091e-11,2.991137040546137e-11,8.888772633669718e-11,2.0857665492851433e-11,1.933507740106495e-11,3.009567721971078e-11,3.017099183686203e-11,6.57965555718113e-11,3.03923830446508e-11,9.278052321907081e-11
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,1.2849533913905521e-08,2.7751386221546092e-08,1.1939490098682885e-07,8.753983053100041e-08,1.7702949223463203e-08,4.721749690223172e-08,1.6034807941965583e-07,2.4666289650691094e-08,2.0740620951773943e-07,1.1265672609855734e-07
MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,2.178885980348762e-05,4.359577561302302e-05,8.892202475246566e-05,8.083103221945987e-05,3.152480748371336e-05,5.5945340421313846e-05,9.341892129299097e-05,3.312228759315039e-05,0.0001436088065134301,9.519182058545227e-05
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,7.483727408180423e-07,1.5863269486341571e-06,7.700161122825977e-06,5.304701937058778e-06,1.2728451637266812e-06,2.8310280616598494e-06,8.782101737782166e-06,1.4570959663763085e-06,1.2263659818265078e-05,5.8978631851234666e-06
SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,8.882069197613012e-16,4.3411250538563777e-16,1.10574714341699e-15,5.790683425748296e-16,3.584609929697994e-16,2.0595385429512046e-15,5.483251247323112e-16,2.578843429203833e-15,4.884754273215851e-16,1.2302359023312214e-15
MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,2.124298865371925e-06,4.7031950349089e-06,1.9456549853869167e-05,1.4259095470533414e-05,3.7975438136287924e-06,7.722843916969792e-06,2.2216085257470685e-05,4.7668933153322635e-06,3.20096104277009e-05,1.551240040965097e-05
SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,7.527557301869918e-15,2.0057719831521626e-15,5.308887007761632e-15,9.820860757337393e-15,4.6231171303059666e-15,2.5552114986409545e-15,2.784059693326598e-15,5.376576384708743e-15,1.4975651870611437e-15,2.0601684905169697e-14
SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,1.5333433493346965e-11,5.707475099623892e-12,3.582653210652331e-11,7.522933845003775e-12,6.1551001159638345e-12,7.341810953741956e-12,8.796521092237648e-12,2.2426421957237628e-11,5.4801261171132975e-12,1.7713098010953543e-11
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,1.3473145086785517e-09,8.185629571973528e-10,4.755459341481085e-10,2.613363726192066e-09,1.5085680075605992e-09,1.8126024186718488e-09,1.252010224906108e-09,6.389744375169759e-10,1.3188965915483774e-09,2.9150272520213796e-09
SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,2.282756312620399e-13,9.921296190891087e-14,2.688408592843675e-13,8.208755909826879e-14,8.51777542325137e-14,1.2923434673533878e-13,1.59660262591754e-13,2.9866081584800765e-13,1.0275033415068798e-13,3.3184249313535584e-13
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,3.1808354489137866e-07,6.957063723990299e-07,3.0393437487906508e-06,1.9170977221735924e-06,5.038504643194796e-07,1.0383647283847031e-06,3.5884431411212264e-06,6.22720791609602e-07,4.186470556037928e-06,2.536847350626054e-06
MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,8.438830313351384e-06,1.3347195192603332e-05,4.6649414568510157e-05,3.477442039403635e-05,1.3058584648617858e-05,2.029939831674434e-05,5.1348070216011286e-05,1.2236182351917631e-05,7.927449255249822e-05,4.6453488466389865e-05
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,3.051967961832301e-12,2.003487071663834e-12,4.642271562530544e-12,1.7426953777538704e-12,1.3077299512126982e-12,1.8150149842249312e-12,1.91962451948967e-12,5.1762538698570054e-12,2.1299816504523268e-12,2.150541906843973e-11
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,5.1720660998843844e-11,1.4430168638780795e-10,5.894918686364428e-10,4.743078707329035e-10,9.345553296749974e-11,1.7285142619287382e-10,7.965384803017888e-10,9.694311482881021e-11,1.2408538866271382e-09,5.054659344130317e-10
SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,MA90,MA90,MA90,MA90,MA90,MA90,MA90,1.1483858064545589e-12,3.5799174701203937e-13,1.0657417058758957e-12,4.715580256546352e-13,3.2660123639043626e-13,6.943924155956044e-13,6.107977802728465e-13,9.945183156351247e-13,7.117360821970984e-13,2.1019776282128823e-12
MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,2.961536302877295e-09,6.055953408213906e-09,2.5947379232538965e-08,2.0308179169690497e-08,5.804015909598708e-09,9.32064574503432e-09,3.9997953237424116e-08,4.10064098583938e-09,5.727651378459187e-08,2.7058100804492357e-08
MA90,MA90,MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,1.3233507751614881e-05,2.5388847510327063e-05,7.18902596850952e-05,7.416608566730517e-05,2.6011126428918982e-05,4.013059359951897e-05,9.046758870405187e-05,2.3043317265125117e-05,0.00012791701727759693,6.360289085625737e-05
MA90,MA90,MA90,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,SI06,1.7920795929952424e-05,3.493891312533631e-05,3.5103070599364224e-05,5.232147467990023e-05,3.305431411845551e-05,4.0890168534319885e-05,5.093198534760412e-05,2.4699617419613708e-05,6.319437663831115e-05,3.073162727291946e-05
