,shortname,geno
a,0111110101010011,0111110101010011
b,1111100101101001,1111100101101001
c,0111100101100100,0111100101100100
d,1111100101101110,1111100101101110
e,0110001111110111,0110001111110111
f,1110001111110111,1110001111110111
g,0101111111110111,0101111111110111
h,1111101111110011,1111101111110011
