Optimal order: 5
Type,Order,Mean,Std
Train,0,3.885780586188048e-16,1.4435034206511042e-15
Train,1,0.6249893215580263,0.0007917793804785016
Train,2,0.8814667178001641,0.0003539124902088883
Train,3,0.9425333546423798,0.00017622422316828715
Train,4,0.9653399713094805,0.00014442469082376919
Train,5,0.9814200561692722,0.00010416456587405021
Train,6,0.9882611746404137,6.923057581395991e-05
Test,0,-0.00027002301898129135,0.0003376620247940366
Test,1,0.618836452603402,0.00734463429734844
Test,2,0.8799920862911357,0.0033231386291717644
Test,3,0.940237070578729,0.0017283021327632719
Test,4,0.9604187624229317,0.0014646372715786463
Test,5,0.9731833895304927,0.001179468985188512
Test,6,0.973159744363344,0.0010048228254334283
