Order,Train R2,Test R2
0,5.551115123125783e-16,-0.00012874001646934197
1,0.6244139123551624,0.6243339135793924
2,0.881135600837338,0.8830597669855054
3,0.9422782330753312,0.9426903339997414
4,0.9651492143509922,0.9621651777993707
5,0.9812884404897079,0.9745201214897826
6,0.9881911881133915,0.974146801292513
