Optimal order: 5
Type,Order,Mean,Std
Train,0,-6.167905692361981e-17,1.1680652064117419e-15
Train,1,0.6362210284032215,0.0005884225810253127
Train,2,0.878748289259752,0.0004937202129245941
Train,3,0.9337062078431847,0.0002615620877508788
Train,4,0.952698561129183,0.00022179597942645351
Train,5,0.9666752361519547,0.0002552491697535531
Train,6,0.9773828128489804,0.0001979777749420398
Test,0,-0.00023228373281278556,0.000254163207565995
Test,1,0.6328359968749608,0.005266564088303544
Test,2,0.874638955289364,0.0045137190246935
Test,3,0.9292691019773004,0.0024231091035056608
Test,4,0.9443373586898447,0.002192830477571786
Test,5,0.9502279463115868,0.002648691096842938
Test,6,0.9451428447139087,0.0026106215059509604
