Optimal order: 5
Type,Order,Mean,Std
Train,0,2.55351295663786e-16,5.087681048627602e-17
Train,1,0.7549290067426202,0.000573330239451925
Train,2,0.9565327850406378,6.101338543915393e-05
Train,3,0.9800897212886521,5.5145167503821246e-05
Train,4,0.9869089038571858,5.887030420120075e-05
Train,5,0.9901154103538838,4.531398232790751e-05
Train,6,0.9927886942491666,4.680689685216122e-05
Test,0,-0.00016604148576389034,8.559918934386684e-05
Test,1,0.7557768864947862,0.005058781073581001
Test,2,0.9558671180348443,0.0005428899157796515
Test,3,0.9790821189554599,0.000494352419399962
Test,4,0.9854254009768832,0.0005430303842336639
Test,5,0.9870269545386406,0.000375060272255666
Test,6,0.9868285894972504,0.00044347202516358474
