Order,Train R2,Test R2
0,-2.220446049250313e-16,-0.0006894500845211482
1,0.7527670031036058,0.7586751483504829
2,0.9562621901805173,0.9569024454775382
3,0.9799722092431427,0.9796552719613529
4,0.9868587927792657,0.9857970819768602
5,0.9901062010989917,0.9871311489449993
6,0.9927734802731272,0.9870336978638078
