fold_nb,order,train,test
0,0,-1.4382051105599203e-11,-1.314757060999483e-06
0,1,0.7544952190449334,0.7597761398471344
0,2,0.9564107013913774,0.9569202585305931
0,3,0.9800049117609975,0.9798429869632551
0,4,0.9868501579096538,0.9859864250627607
0,5,0.9900741602446032,0.9874532278970632
0,6,0.9927532419509734,0.9872815425829677
0,7,0.995007922424679,0.9832068995949119
1,0,-1.4346523968811198e-11,-5.6081051660328285e-06
1,1,0.7551575862198722,0.7538712791015281
1,2,0.9566263953354902,0.9550080774203893
1,3,0.9800792356151958,0.9791732341411263
1,4,0.9869411610575517,0.9851263591827447
1,5,0.9901386116523776,0.9867759609925789
1,6,0.9927983133230579,0.9866781222575112
1,7,0.995011565732015,0.9827273337496357
2,0,-1.4371170919957876e-11,-9.543527670730079e-05
2,1,0.7548652634175657,0.756518601140521
2,2,0.956325301282171,0.9577166287012845
2,3,0.9799514489081289,0.9803478004592259
2,4,0.9867938924411177,0.9865222949571424
2,5,0.9899918423605512,0.9883053405276596
2,6,0.9927009804217427,0.9878868843533773
2,7,0.994934094641445,0.9842964453970303
3,0,-1.4367840250884001e-11,-0.0003412097214181564
3,1,0.7547430374406353,0.7575527492354364
3,2,0.9562463718923291,0.9584028054431326
3,3,0.9799072453844319,0.9807114536693216
3,4,0.9867995565151231,0.9863985981176953
3,5,0.9900247774586602,0.9878753740815098
3,6,0.9927050220832061,0.9877951174184881
3,7,0.9949532826391169,0.9842677032943097
4,0,-1.4361400957341175e-11,-1.5331047433786438e-06
4,1,0.7550248855704751,0.7551083413797869
4,2,0.9565149732175896,0.9560228146973836
4,3,0.9800384523842728,0.9795402797209949
4,4,0.9868785026000546,0.9856883545767378
4,5,0.9900979493133089,0.9871766366951726
4,6,0.9927682916502026,0.987054417116233
4,7,0.9950002695264664,0.983146757302008
5,0,-1.4314993634911843e-11,-0.0004044584409470531
5,1,0.7556532003484235,0.7492058811474083
5,2,0.956474444081266,0.9563824132819609
5,3,0.979983828705051,0.9799991536055264
5,4,0.9868108159429296,0.9863241464703921
5,5,0.9900319647234915,0.9877636005909919
5,6,0.9927276733608225,0.9873900943441714
5,7,0.9949625457900277,0.9836342487019913
6,0,-1.4333201292515696e-11,-0.00011891873940417241
6,1,0.7547183591202029,0.757888521857694
6,2,0.9565343994025832,0.9558349798359298
6,3,0.980033925932143,0.9795830990757592
6,4,0.9868390936623064,0.9860570039854836
6,5,0.9900703569508279,0.9874189646492724
6,6,0.9927374701586862,0.9873605242269903
6,7,0.9949631133894076,0.9839881036613327
7,0,-1.4316547947146319e-11,-0.0004962853746492968
7,1,0.7557257005327936,0.7485228900510732
7,2,0.9566146828266745,0.9550821902698033
7,3,0.9800275344679219,0.9796079950142424
7,4,0.986868843037058,0.9857860539320523
7,5,0.9900793839418098,0.9873389832782231
7,6,0.9927552671541919,0.9871399431915231
7,7,0.9949756302426997,0.9836344943798773
