fold_nb,order,train,test
0,0,-1.4306777984529617e-11,-0.00042993254405732095
0,1,0.7560453860420591,0.7455086822544749
0,2,0.9564466827124811,0.9564009628590981
0,3,0.9554105164170653,0.9553913669087388
0,4,0.9737276859108501,0.9720974637838425
0,5,0.9536353244439579,0.9534251465263633
0,6,0.9037121118501775,0.8920711513728977
0,7,0.9137319081105756,0.8803398168163815
1,0,-1.436650798325445e-11,-2.8950853418363565e-05
1,1,0.7543025423061622,0.7615064697761412
1,2,0.9562533986922404,0.9582666393597044
1,3,0.955137648179691,0.9542645218991159
1,4,0.9331616550178696,0.9304836929501852
1,5,0.9527680335696902,0.9526905894394595
1,6,0.9049044879957884,0.892320600860513
1,7,0.919088487913687,0.8873405425206152
2,0,-1.4339418541453597e-11,-5.004691925325488e-07
2,1,0.7547591729348935,0.7574854414255555
2,2,0.9565136460049589,0.9558923479822375
2,3,0.9554314612003451,0.9536039218995926
2,4,0.9738339165209158,0.9706066586443073
2,5,0.95445758816638,0.9494784582503737
2,6,0.9036231600210108,0.8928641199951899
2,7,0.9120748912708042,0.8837053563073555
3,0,-1.4358292332872225e-11,-0.000245675014843183
3,1,0.755096886964122,0.7544305833602414
3,2,0.9565269642061073,0.9558232208195533
3,3,0.9550501700517413,0.9564945519980108
3,4,0.9721538220398706,0.9714957728309669
3,5,0.9505747464775942,0.953095368400501
3,6,0.9023249585729581,0.8906042205764066
3,7,0.9114070423585248,0.8852022806719466
4,0,-1.4393597425055304e-11,-1.944601374592736e-06
4,1,0.7541721443442827,0.7625884738781775
4,2,0.9564010087588608,0.9568406553389336
4,3,0.9554017873972775,0.9523462574886657
4,4,0.9730869627182348,0.9716473915037727
4,5,0.9532982554371193,0.94944492568744
4,6,0.9043017871675793,0.8883777723697437
4,7,0.9186503490271645,0.8835503957782658
5,0,-1.4383605417833678e-11,-1.9166324840114157e-05
5,1,0.7544684949873499,0.7600095896127068
5,2,0.9564599347178443,0.9563916922362773
5,3,0.9547559006182148,0.9584267976929346
5,4,0.9718753259535738,0.9713332261416516
5,5,0.9512562956053964,0.9553781992579556
5,6,0.9023342475570919,0.8928845222419357
5,7,0.9140619115836089,0.886414901990754
6,0,-1.4372947276797277e-11,-2.136121685492043e-05
6,1,0.7551386236287604,0.754073254904975
6,2,0.9564828975463662,0.9561802975219904
6,3,0.9552599042338714,0.9557947895161287
6,4,0.9374960760605591,0.934470933791726
6,5,0.9401522657760331,0.9422093220506126
6,6,0.9026438913536513,0.8872380524969203
6,7,0.9098608415452167,0.8718867457669572
7,0,-1.4374723633636677e-11,-0.00012629847245704262
7,1,0.7549102472705824,0.7560997686264671
7,2,0.9563931271759323,0.9569687779907894
7,3,0.9555675838018793,0.9503124663740299
7,4,0.9727079908625778,0.9686526165402037
7,5,0.9526933349088749,0.9449890393254995
7,6,0.902856695620039,0.8776015979450097
7,7,0.9158236736630483,0.874037733803133
