Optimal order: 5
Type,Order,Mean,Std
Train,0,-4.4408920985006264e-17,1.2930166592131681e-15
Train,1,0.6356992948898299,0.0007112945199001339
Train,2,0.8784102122345889,0.0003323292970583798
Train,3,0.9334635947022841,0.0002161115414840733
Train,4,0.9524982869722758,0.00021051358428886304
Train,5,0.966555532115383,0.00016656446416566571
Train,6,0.9772840671481868,0.0001573538679611912
Test,0,-0.0006086219874620547,0.0007540438406670709
Test,1,0.637347189749135,0.006412798514683601
Test,2,0.8777035112073154,0.0029490815109693247
Test,3,0.9315089578082925,0.001958371472161586
Test,4,0.946263021637194,0.002072126683640864
Test,5,0.9516411788816059,0.0019889883028057415
Test,6,0.9466388380480749,0.0026942882119528186
