sample	fastq_file	total_reads_considered	reads_matching_pattern	fraction_of_fastq_accepted
CH65_h_6_1	results_CH65/grouped_fastq/CH65_h_6_1_R1.fastq.gz	16467546	14681883	0.891564717657385
CH65_h_6_2	results_CH65/grouped_fastq/CH65_h_6_2_R1.fastq.gz	4749039	4420956	0.9309159179362392
CH65_h_6_3	results_CH65/grouped_fastq/CH65_h_6_3_R1.fastq.gz	5543502	5229214	0.943305152591268
CH65_h_6_4	results_CH65/grouped_fastq/CH65_h_6_4_R1.fastq.gz	5291891	5025008	0.9495675553408036
CH65_h_7_1	results_CH65/grouped_fastq/CH65_h_7_1_R1.fastq.gz	8844190	8391329	0.94879565002561
CH65_h_7_2	results_CH65/grouped_fastq/CH65_h_7_2_R1.fastq.gz	3306700	3101246	0.9378673602080624
CH65_h_7_3	results_CH65/grouped_fastq/CH65_h_7_3_R1.fastq.gz	4054312	3776880	0.9315711272344112
CH65_h_7_4	results_CH65/grouped_fastq/CH65_h_7_4_R1.fastq.gz	3110123	2870467	0.9229432405084944
CH65_h_8_1	results_CH65/grouped_fastq/CH65_h_8_1_R1.fastq.gz	16464801	15161404	0.9208373669381124
CH65_h_8_2	results_CH65/grouped_fastq/CH65_h_8_2_R1.fastq.gz	1073973	984703	0.91687872972598
CH65_h_8_3	results_CH65/grouped_fastq/CH65_h_8_3_R1.fastq.gz	2141511	2012016	0.9395310133826068
CH65_h_8_4	results_CH65/grouped_fastq/CH65_h_8_4_R1.fastq.gz	2295246	2171304	0.9460005594171604
CH65_h_9_1	results_CH65/grouped_fastq/CH65_h_9_1_R1.fastq.gz	31216317	29811183	0.9549871946777064
CH65_h_9_2	results_CH65/grouped_fastq/CH65_h_9_2_R1.fastq.gz	1195446	1118705	0.9358055487240744
CH65_h_9_3	results_CH65/grouped_fastq/CH65_h_9_3_R1.fastq.gz	1498117	1390197	0.9279629027639364
CH65_h_9_4	results_CH65/grouped_fastq/CH65_h_9_4_R1.fastq.gz	1783160	1552691	0.8707524843536194
CH65_h_0_1	results_CH65/grouped_fastq/CH65_h_0_1_R1.fastq.gz	26435466	24324587	0.920149733694878
CH65_h_0_2	results_CH65/grouped_fastq/CH65_h_0_2_R1.fastq.gz	573726	488763	0.8519101452609782
CH65_h_0_3	results_CH65/grouped_fastq/CH65_h_0_3_R1.fastq.gz	1401732	1269643	0.9057672936053396
CH65_h_0_4	results_CH65/grouped_fastq/CH65_h_0_4_R1.fastq.gz	741334	664278	0.8960576474301731
CH65_h_unsorted	results_CH65/grouped_fastq/CH65_h_unsorted_R1.fastq.gz	18799898	17817914	0.9477665251162531
