sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
CH65_a_1_1	23722	756135	236016	0.767671746369871
CH65_a_1_2	576161	10156981	481133	0.9570963793914452
CH65_a_1_3	718760	14046127	634211	0.9588150552714192
CH65_a_1_4	574904	10676880	535794	0.9545458787208024
CH65_a_2_1	79673	746373	545155	0.6024251732605213
CH65_a_2_2	737845	14479018	480102	0.9694143421992722
CH65_a_2_3	668720	14935895	557783	0.9654888463951946
CH65_a_2_4	569466	11452014	428805	0.9655586197424396
CH65_a_3_1	24914	263272	470288	0.3799550149378884
CH65_a_3_2	563815	10162447	232648	0.9787708814106512
CH65_a_3_3	533921	10445427	252216	0.9775440001054172
CH65_a_3_4	794250	12703164	331907	0.9759997616658114
CH65_a_4_1	50426	451927	560872	0.4724804251216817
CH65_a_4_2	411667	6329604	153322	0.9777619940727466
CH65_a_4_3	518979	11082122	221095	0.9812983137819742
CH65_a_4_4	618511	13793383	267452	0.9817803872188856
CH65_a_5_1	21571	575375	333479	0.6415842222640191
CH65_a_5_2	663236	13182514	631742	0.956363850865882
CH65_a_5_3	630760	12560240	511596	0.9626643009835508
CH65_a_5_4	667907	12064182	626039	0.9531342265922292
CH65_a_6_1	156014	1519498	1203031	0.582069470562017
CH65_a_6_2	717365	12998199	1299812	0.9134346019706732
CH65_a_6_3	602149	13493180	266627	0.981435188911594
CH65_a_6_4	625457	13187969	297455	0.9789201680603784
CH65_a_7_1	329993	7244650	274150	0.9650710625187848
CH65_a_7_2	601399	9185879	642968	0.9383554328440576
CH65_a_7_3	747177	12387173	966866	0.9314338564844336
CH65_a_7_4	698414	11464563	593633	0.9534646743923346
CH65_a_8_1	1804982	15765828	576364	0.9682394625190676
CH65_a_8_2	481163	7857735	704342	0.9221139768490054
CH65_a_8_3	476864	9525250	625327	0.9411592122694448
CH65_a_8_4	376017	6491790	553768	0.9253840323650976
CH65_a_9_1	937875	13402936	471252	0.9681845803653414
CH65_a_9_2	97844	1409787	294931	0.836382326932444
CH65_a_9_3	154105	2320155	369206	0.870156351438702
CH65_a_9_4	138870	2017077	399320	0.8437267025324555
CH65_a_0_1	2029001	17030592	531072	0.9728915787187418
CH65_a_0_2	19354	218315	167300	0.5868819588659873
CH65_a_0_3	64015	895716	300454	0.7615794506362161
CH65_a_0_4	43601	669243	357736	0.6658484186142091
CH65_a_F_1	452968	11034115	289818	0.9753909793416792
CH65_a_F_2	668971	10789094	595562	0.9505906396473028
CH65_a_F_3	597340	9625687	685333	0.937173598964464
CH65_a_F_4	543119	8087987	686607	0.9263116389182624
CH65_a_unsorted	3721284	32797685	1025342	0.9726898171070444
CH65_b_1_1	30156	589165	52755	0.9215044131913652
