sample	num_reads	num_unique_UMIs	num_reads_dropped	frac_reads_dropped	num_genos_seen
CH65_a_1_1	193546	184734	8812	0.0455292281938143	37713
CH65_a_1_2	7762798	7755162	7636	0.0009836659410691	63253
CH65_a_1_3	10877854	10399581	478273	0.043967587724564	64113
CH65_a_1_4	8518525	8140072	378453	0.0444270575011519	62681
CH65_a_2_1	144360	144357	3	2.0781379883624272e-05	45166
CH65_a_2_2	11717588	11218301	499287	0.0426100490988418	64129
CH65_a_2_3	11897763	11348888	548875	0.0461326217373803	64216
CH65_a_2_4	8882833	8873056	9777	0.0011006623675127	62743
CH65_a_3_1	104614	103150	1464	0.0139943028657732	44150
CH65_a_3_2	8045543	7702619	342924	0.0426228534233177	63088
CH65_a_3_3	8032520	7715580	316940	0.0394571068606116	63675
CH65_a_3_4	9078603	9068207	10396	0.0011451101011906	63303
CH65_a_4_1	131280	128392	2888	0.0219987812309567	44723
CH65_a_4_2	4657055	4654380	2675	0.0005743973390909	62328
CH65_a_4_3	8758077	8385951	372126	0.0424894642967857	63626
CH65_a_4_4	11067246	10534659	532587	0.0481228121250761	63497
CH65_a_5_1	184492	177259	7233	0.0392049519762374	38071
CH65_a_5_2	10494664	10059186	435478	0.0414951826947484	63180
CH65_a_5_3	9690087	9320439	369648	0.038147025924535	63885
CH65_a_5_4	9140676	9130408	10268	0.0011233304845287	63748
CH65_a_6_1	731622	707417	24205	0.0330840242638958	56013
CH65_a_6_2	10232954	9815189	417765	0.0408254547025228	62618
CH65_a_6_3	10638975	10186417	452558	0.0425377444725643	64064
CH65_a_6_4	10099574	10086998	12576	0.0012452010352119	63823
CH65_a_7_1	4905028	4901997	3031	0.0006179373491853	56287
CH65_a_7_2	6886797	6880748	6049	0.0008783473652555	62504
CH65_a_7_3	8908106	8898019	10087	0.0011323394669978	63915
CH65_a_7_4	8990653	8618787	371866	0.0413614005567782	63523
CH65_a_8_1	9665410	9290816	374594	0.0387561417467029	62509
CH65_a_8_2	6002878	5998335	4543	0.000756803653181	63203
CH65_a_8_3	7475601	7179584	296017	0.0395977527425554	63716
CH65_a_8_4	4880921	4878022	2899	0.0005939452820482	62288
CH65_a_9_1	9029661	9019428	10233	0.0011332651358672	62700
CH65_a_9_2	1108222	1072000	36222	0.0326847869831134	60635
CH65_a_9_3	1637566	1637199	367	0.0002241131044489	61164
CH65_a_9_4	1563882	1514761	49121	0.0314096587849978	56475
CH65_a_0_1	10232112	8677761	1554351	0.1519091073279886	63336
CH65_a_0_2	157074	153170	3904	0.0248545271655398	36542
CH65_a_0_3	612186	612135	51	8.330801423096902e-05	58546
CH65_a_0_4	497008	477841	19167	0.0385647715932137	49467
CH65_a_F_1	3619031	3468723	150308	0.0415326644065773	62565
